firm_id,firmname,page,section_title,text,US Location Mention,US-Resembling Company Name,Indicator of US Investment?,Reasoning,band,corrected firm name,Master name,US parent,US Company,Type of US ownership,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,US parent explicitly mentioned,Other indicators,Other indicators are strong,us-sounding name only
597,Mix & Genest Aktiengesellschaft. ,546,Großaktionär,Großaktionäre: Standard Elektr.-Ges. A.-G. in  Berlin (Konzern: International Telephon & Telegraph  Comp.).,No,Potentially (Standard),Potentially,"Standard Elektr.-Ges. A.-G. in Berlin (Konzern: International Telephon & Telegraph Comp.) -  Mentions 'International Telephon & Telegraph Comp.', suggesting possible US investment.  Requires further investigation.",92,Mix & Genest Aktiengesellschaft. ,Mix & Genest AG,International Telephon & Telegraph Comp.,International Telephone and Telegraph Corp.,US large shareholder,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
763,Pittier Werkzeugmaschinenfabrik Aktiengesellschaft. //,671,Aufsichtsrat,"Aufsiehtsrat: Vors.: Bank-Dir. Bruno Winkler  (Leipzig); Stellv.: Kaufmann Paul Rohde (Berlin);  sonst. Md'bgl.: Bank-Dir. Dr. Hans Pikier [Dresdner  Bank] (Berlin), Bank-Dir. Carl Harter [Commerz-  und Privat-Bank] (Berlin), Gen.-Dir. Otto Henrich  (Berlin), Dir. Richard Voigtländer (Leipzig), Geh.  Kommerz.-R. Otto Weissenberger (Dresden), Rechtsanw.  Dr. Walter Hoffmann (Berlin), Präsident F. H. Chapin  [National Acme Company] (Cleveland/Ohio), Bankier  Alfred Lehmann [Delbrück Schickler & Co.] (Berlin). Entwicklung:",Yes (Cleveland/Ohio),Weak/No (National Acme Company) but Yes (Context),Yes,"Explicit US location ""Cleveland/Ohio"" and US company name ""National Acme Company"" linked to a person. The term President is also often seen in the US. The name of the company itself is also quite American.",92,Pittier Werkzeugmaschinenfabrik Aktiengesellschaft.,Pittler Werkzeugmaschinenfabrik Aktiengesellschaft,"[National Acme Company] (Cleveland/Ohio),",The National Acme Co.,US large shareholder,FALSE,TRUE,TRUE,FALSE,FALSE,,,FALSE,
879,Allgemeine Elektricitäts-Gesellschaft. ,755,Vorstand,"Vorstand: Ordentliche Mitglieder: Vors.: Gen.-  Dir. Wirklicher Legationsrat a. D. Dr. Hermann Bücher;  Stellv. Vors. Gen.-Dir. Professor Dr. Waldemar Peter-  sen; Dr. Simon Roos, Kurt Elfe, Fritz Froese, Fritz  Jonas, Dr. Ernst Lemcke, Professor Alfred Rachel,  Baurat Fritz Spennratli. Stellv. Mitgl.: Oberreg.-Rat  a. D. Dr. Hans Boden, Dipl.-Ing. Otto Koehn, Prof. Dr.  Carl Ramsauer. Aufsiclitsrat: Vors.: Bankier Fritz Andreae [Hardy  & Co. G. m. b. H.] (Berlin); Stellv.: Bankier Hans  Fürstenberg [Geschäftsinh. der Berliner Handels-Ges.]  (Berlin); sonst. Mitgl.: Bankier Konsul Adolf Arnhold  [Gebr. Arnhold] (Dresden-Berlin), Dir. E. Arthur Bald-  win [International General Electric Company] (Paris),  Generaldir. Dr. Heinrich Bierwes [Mannesmannröhren-  Werke] (Düsseldorf), Guidotto Graf Henckel Fürst von  Donnersmarck (Neudeck O.-S.), Gen.-Dir. Dr. Walther  Fahrenhorst (Berlin), Professor Dr. Julius Flecht­ heim [Köln-Rottweil A.-G.] (Berlin), Gen.-Dir. Dr.  Friedrich Flick [Actiengesellsch. Charlottenhütte] (Ber­ lin), Gen.-Dir. Oberbaurat Bruno Heck [Deutsche Con-  tinental-Gas-Ges.] (Dessau), Bankier Carl Joerger [Del­ brück Schickler & Co.] (Berlin), Dir. Dr. Arthur Klotz­ bach [Fried. Krupp A.-G.] (Essen), Kommerz.-Rat Dr.  Paul Mamroth (Berlin), Gen.-Dir. Clark H. Minor [In­ ternational General Electric Company] (New York),  Dir. Dr. Oskar Oliven [Ges. für elektrische Unter-  nehmungen-Ludw. Loewe & Co., A.-G.] (Berlin), Geh.  Komm.-Rat Wilhelm von Oswald (Hannover), Bankier  Dr. Robert Pferdmenges [Sal. Oppenheim jr. & Cie.]  (Köln), Dr. Günther Quandt (Berlin), Bank-Dir. Staats­ rat Friedrich Reinhardt [Commerz- u. Privatbank]  (Berlin), Gen.-Dir. Komm.-Rat Dr. Paul Reusch  (Gutehoffnungshütte Oberhausen A.-G.] (Oberhausen),  Ministerialrat a. D. Dr. Hans Schippel [Dresdner  Bank] (Berlin), Dir. Dr. Georg Solmssen (Berlin),  Gen.-Dir. Gerard Swope [General Electric Company:  Vors, des Board der International General Electric  Company] (New York), Otto Wolff (Köln), Owen  D. Young [Vors, des Board der General Electric  Company] (New York). Entwicklung:",Yes (New York),Yes (International General Electric Company),Yes,"Lists International General Electric Company (Paris and New York). Mentions several individuals associated with General Electric and International General Electric Company from New York as members of the Aufsichtsrat. Explicit mention of New York as a location for the company and its representatives, alongside descriptions of Dollar-Anleihen handled by National City Bank of New York.",92,Allgemeine Elektricitäts-Gesellschaft.,Allgemeine Elektricitäts-Gesellschaft,[International General Electric Company] (New York),International General Electric Company Inc.,US large shareholder,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
891,"Telephon- und Telegraphen-Werke, Eisenbahnsignal-Bauanstalt.",780,Großaktionär,"Großaktionär:  International Telephone and Telegraph Corp. (I. T. T.). Kurs: 1928 1929 1930  1931* 1932 1933 Höchster 168 181.50 189.25  — ___ — % Niedrigster 100 115 120.50  — — — % Letzter 152 123 125 — - % Am 27./8.1910 in Berlin von der Nationalbank für  Deutschi, zu 253.25 % eingeführt. Zugel. sind die St.-Akt.  Nr. 1—2400 zu je 1000 RM, Nr. 2401—14 400 zu je  100 RM, Nr. 60001—64000 zu je 300 RM und Nr. 64001  bis 66 000 zu je 600 RM (nom. 6 Mill. RM).",No,Yes (International Telephone and Telegraph Corp. / I. T. T.),Yes,"The major shareholder is listed as International Telephone and Telegraph Corp. (I. T. T.), a well-known American multinational conglomerate.  This strongly suggests US investment.",92,"C. Lorenz Aktiengesellschaft, Telephon- und Telegraphen-Werke, Eisenbahnsignal-Bauanstalt.",C. Lorenz AG,International Telephone and Telegraph Corp. (I. T. T.).,International Telephone and Telegraph Corp.,US large shareholder,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
1257,Mineraloel-Raffinerie vorm. August Korff.,1039,Großaktionär,"Großaktionäre: Standard Oil Comp, of New  Jersey, New York.","Yes (New Jersey, New York)",Yes,Yes,"Explicit mention of 'Standard Oil Comp. of New Jersey, New York' indicates US investment. The company name itself is a huge indicator.",92,Mineraloel-Raffinerie vorm. August Korff.,Mineraloel-Raffinerie vorm. August Korff,"Standard Oil Comp, of New Jersey, New York.",Standard Oil Company (New Jersey),US large shareholder,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
1272,Dynamit-Actien-Gesellschaft vormals Alfred Nobel & Co. //,1060,Großaktionär,"Großaktionäre: Du Pont de Nemours, Imperial Chemical Industries Ltd., I. G. Farbenindustrie A.-G. Kurs: 1928 1929 1930 1931* 1932 1933 Höchster 144.75 124.75 90.50 79 503/8 75  % Niedrigster 115.25 76.50 57.50 53 38.50 47.25% Letzter 126.25 78.25 62 71 48 61 % Börsenzulassung in Berlin im Sept. 1918. Auch in Hamburg und",No,Potentially Yes (Du Pont de Nemours),Potentially Yes,Du Pont de Nemours is an American company. This indicates potential US investment or collaboration.,92,Dynamit-Actien-Gesellschaft vormals Alfred Nobel & Co.,Dynamit-Act.-Ges. vormals Alfred Nobel & Co.,Du Pont de Nemours,E.I. du Pont de Nemours and Company,US large shareholder,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,
1530,Wrigley Aktiengesellschaft.,1192,Vorstand,"Vorstand: Kaufmann William Henry Stanley,  Chicago.",Yes (Chicago),No,Yes,"Explicit US location ""Chicago"" linked to individuals and titles.",92,Wrigley Aktiengesellschaft.,Wrigley Aktiengesellschaft,Wrigley,Wm. Wrigley Jr. Company,Director with US location,FALSE,FALSE,TRUE,TRUE,FALSE,,,FALSE,
1546,Paramount Film Aktiengesellschaft.,1206,Vorstand,"Vorstand: Gustave J. Schaefer, George P. Vallar.",No,Yes,Yes,"While the company name is absent in the provided text, the presence of individuals named 'Gustave J. Schaefer' and 'George P. Vallar' as 'Vorstand', which are common American names, strongly suggests potential US investment or influence.",92,Paramount Film Aktiengesellschaft.,Paramount Film AG,Paramount,"Paramount Pictures, Inc.",US sounding names on boards,FALSE,FALSE,FALSE,TRUE,FALSE,,Paramount is very suggestive,TRUE,
1802,Zukunft Lebensversicherungsbank Aktiengesellschaft.,1405,Vorstand,"Vorstand: Dir. Dr. Walter Erhard, Dir. Adolf  Haase. Auf sichtsrat: Geh. Reg.-Rat Prof. Dr. Julius  Wolf, Berlin; Dir. Prof. Dr. Ernst Fanta („Universale“  Allgemeine Versicherungs-Gesellschaft), Wien; Reichs­ bahninspektor Richard Krüger, Berlin; Rechtsanwalt u.  Notar Dr. Wilhelm Kühn, Berlin; Dir. Wilh. Remppis  (Guardian Versicherungs - Gesellschaft von Amerika),  Berlin; Prinz Heinrich XXXV. Reuß j. L., Berlin;  Fabrikant Ernst Rosinski, Berlin.",Yes (Guardian Versicherungs - Gesellschaft von Amerika),Weak/Yes (Guardian Versicherungs - Gesellschaft von Amerika),Yes,Explicit US location (Amerika) linked to a insurance company. It is related to a person: Dir. Wilh. Remppis,92,Zukunft Lebensversicherungsbank Aktiengesellschaft.,Zukunft Lebensversicherungsbank Aktiengesellschaft.,Guardian Versicherungs - Gesellschaft von Amerika,Guardian Life Insurance Co. of America,US large shareholder,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,
1873,Ilseder Hütte. ,1506,Aufsichtsrat,"Aufsiehtsrat: Vors.: Regierungsrat a. D. Ewald  Hecker. Hannover; Stellv.: Cornelius Freiherr von Be-  renberg-Goßler, Hamburg; Geh. Reg.-Rat Dr. Wilhelm  Lenzmann (Mitglied des Vorstandes der Vereinigte In- dustrie-Unternehmungen A.-G.), Berlin; sonst. Mitgl.:  Reehtsanw. u. Notar Dr. Hans Fiehn, Hannover; Dr.  Edgar Landauer (Vorstandsmitglied der Vereinigte In­ dustrie-Unternehmungen Aktiengesellschaft), Berlin;  Henry Mann (Vizepräsident der Brown Harrimann &  Company Incorporated), Berlin; Dr. Dr.-Ing. e. h.  Gustav ter Meer, München; Dr. Carl Vering, Hamburg;  Dr. Dr.-Ing. e. h. Karl Wendt, Essen-Bredeney. Entwicklung: Die Ilseder Hütte wurde als Aktiengesellschaft im  Jahre 1858 errichtet. Laut Beschluß der G.-V. vom  22.IG. 1932 wurde der Sitz der Ges. von Groß-Ilsede  nach Peine verlegt.",No,Potentially (Brown Harrimann & Company Incorporated),Yes,"Contains the name 'Henry Mann (Vizepräsident der Brown Harrimann & Company Incorporated)', which sounds like the American investment bank Brown Brothers Harriman & Co.",92,Ilseder Hütte. ,Ilseder Hütte,Brown Harrimann & Company Incorporated,Brown Harrimann & Company Incorporated,US large shareholder,FALSE,TRUE,FALSE,FALSE,TRUE,,,FALSE,
734,Ritter Aktiengesellschaft.,651,Großaktionär,"Großaktionäre: Ritter Dental Manufacturing  Comp. Inc. in Rochester. Stimmreckt: 20 RM = 1 St., 100 RM = 5 St.,  1000 RM = 50 St., 10 000 RM = 500 St.",Yes (Rochester),Weak/No (Ritter Dental Manufacturing Comp. Inc. itself) but Yes (Context),Yes,Explicit US location 'Rochester' linked to 'Ritter Dental Manufacturing Comp. Inc.'. The 'Inc.' and 'Manufacturing' could be US-resembling name parts. Also contains financial information that further suggest investment.,93,Ritter Aktiengesellschaft.,Ritter AG,Ritter Dental Manufacturing Comp. Inc. in Rochester.,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",US large shareholder,TRUE,FALSE,FALSE,TRUE,FALSE,,,FALSE,
1243,Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,877,Vorstand,"Vorstand: Vors.: Martin Müller, Dortmund; Ri­ chard Buttke, Dortmund; Dipl.-Ing. Walther Lipken,  Dortmund; Dr. rer. pol. Hans Ahrenkiel, Dortmund  (stellvertret.). Anfsiehtsrat: Vors.: Gen.-Dir. Dr. Harry Vos-  berg, Kassel; Stellv.: Dir. Bruno Schüler, Dortmund;  sonst. Mitgl.: Dr. Karl Kimmich (Vorst.-Mitgl. der  Deutschen Bank und Disconto-Gesellschaft), Berlin;  Ing. W. S. Hülse (Bankhaus Chase Harris Forbes Cor­ poration), Be'rlin; Eugen Bändel (Vorst.-Mitgl. der  Commerz- und Privat-Bank A.-G.), Berlin; Oberbürger­ meister Dr. Willi Bunike, Dortmund; Gauwirtschafts­ berater Christian Franke (Präs, der Industrie- und  Handelskammer Münster), Münster; Oberbürgermeister  Julius Friedrich, Wuppertal, Landrat Heinrich Jansen,  Brilon; Landeshauptmann der Provinz Westfalen Dipk-  Ing. Karl-Friedrich Kolbow, Münster; Bank-Dir. Lud­ wig Kruse (Deutsche Bank und Disconto-Gesellschaft),  Essen; Oberbürgermeister Hans-Wilbert Petri, Watten­ scheid; Fabrikant Paul Pleiger (GauWirtschaftsberater  Gau Westfalen-Süd der NSDAP), Sprockhövel; Landrat  Dr. Josef Rieth, Recklinghausen; Landrat Dr. Heinrich  Teipel, Arnsberg.",No,Weak (Chase Harris Forbes Corporation),Yes,"Lists individuals and titles and German locations, but identifies a Bankhaus 'Chase Harris Forbes Corporation' linked to a person. This suggests potential US investment. The name 'Chase Harris Forbes' has US origins.",93,Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,Bankhaus Chase Harris Forbes Corporation,"Harris, Forbes & Co.",US large shareholder,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,
2212,The Goodyear Tire & Rubber Co. Aktiengesellschaft.,1276,Vorstand,"Vorstand: C. Ch. Crittenden. Anfsiehtsrat: Kaufm. W. Litchfield, Kaufmann  Augustus G. Cameron, Kaufmann Charles George  Jerosch, Kaufmann Albert Gerry Partridge, Robert  Wilson. '",No,Potentially (due to names),Potentially,"Names of Vorstand and Anfsiehtsrat, such as C. Ch. Crittenden, W. Litchfield, Augustus G. Cameron, Charles George Jerosch, Albert Gerry Partridge, and Robert Wilson, strongly suggest potential US links or investment. All of these names are English.",93,The Goodyear Tire & Rubber Co. Aktiengesellschaft.,The Goodyear Tire & Rubber Co. Aktiengesellschaft,The Goodyear Tire & Rubber Co.,The Goodyear Tire & Rubber Company,US sounding names on boards,FALSE,FALSE,FALSE,TRUE,FALSE,,The name Goodyear Tire is very suggestive,TRUE,
2713,Claudius Peters Aktiengesellschaft.,1464,Großaktionär,"Großaktionär: Babcock & Wilcox Ltd., London  (Majorität in Gemeinschaft mit einer amerikanischen  Ges. der gleichen Gruppe).",No,No,Yes,Explicit mention of an American company being in partnership.,93,Claudius Peters Aktiengesellschaft.,Claudius Peters Aktiengesellschaft.,Babcock & Wilcox Ltd.,The Babcock & Wilcox Company,US large shareholder,FALSE,FALSE,FALSE,FALSE,FALSE,,"Large shareholder is Babcock & Wilcox Ltd., London",TRUE,
