Name of Foreign Business,Address (HO),Address (Main Operating Office),Type of Organization,Type of investment,Date Organized,Type of Business,US Company,American Owner - Address,Owned Through (Allied Foreign Organization),Principal Properties of Foreign Business,Production Data,Organizations Allied with the Foreign Organization,Directors and Officers of the Foreign Organization,Proportionate Interest of Persons other than Reporter,"License Agreements, Franchises, and Contracts",Percent Owned,Total Value of Interest Reported - Cost Per Book of Immediate Parent,Total Value of Interest Reported - Value Per Books of Foreign Organization In Currency Used,Total Value of Interest Reported - Value Per Books of Foreign Organization In USD or Currency of Immediate Parent,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Cost Per Book,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in Currency Used,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in USD or Currency of Immediate Parent,"Property Reported Damaged, Destroyed, or Seized Between Jan 1, 1938 and May 1943", ford report amount ,X/S,Property Reported Damaged,additional notes,type_Partnership,type_branch,type_ownership,type_unknown
Allgemeine Oel-Handels-Gesellschaft mit beschrankter Haftung,"38 Mittelweg, Hamburg, Germany","38 Mittelweg, Hamburg, Germany",GmbH,ownership,16-Dec-20,Marketing of petroleum and its products,Standard Oil Company (New Jersey),"20 Rockefeller Plaza, New York, N.Y.",NA,,,,,,,33%,"Rm. 746,265","Rm. 2,158,065","$865,384 ",Unknown,Unknown,Unknown,,,0.0,NA,,False,False,True,False
"Allgemeine Oel-Handels, GmbH. (Oelhag)","Hamburg 13 Mittleweg 38, Germany","Hamburg 13 Mittleweg 38, Germany",GmbH,ownership,8-Dec-20,,The Atlantic Refining Company,"260 So Broad St. Phila., l, Penn. U.S.A.",NA,,,,,,,33.3%,"$1,206,875 ","Rm. 4,512,267","$1,809,419 ",None,None,None,,,0.0,NA,,False,False,True,False
"Almco Waschereimaschinen, GmbH","Monchebergstrasse 7, Levantehaus, Hamburg 1, Germany",,GmbH,ownership,29-Aug-27,,The American Laundry Maschinery Co.,5050 Section Ave. Cincinnati 12. Ohio,"Canadian Laundry Maschinery Co. Ltd. (47 Sterling Road, Toronto, Canada)",,,,,,,100%,"CAD 532,723","Rm. 665,263","$266,770 ",None,None,None,,,0.0,NA,,False,False,True,False
Alpenminen A. G.,"5 Pettenbeckstrasse, Munich, Germany",,Corporation (Aktiengesellschaft),ownership,1929,,American-Austrian Magnesite Corporation,"800 Ohio ST., Pittsburg, Penna.","Austrian Magnesite Company Ltd. (5 Pettenbeckstrasse, Munich, Germany)",,,,,,,100%,"Rm. 1.906,485","Austrian sch 1,145,588","$305,800 ",None,None,None,,,0.0,NA,,False,False,True,False
"Ambi-Budd Presswerk, G.m.b.H.","Johannisthal, Berlin, Germany",,GmbH,ownership,9-Apr-05,,Edward G. Budd Manufacturing Company,"2450 Hunting Park Avenue, Phil., Penna.",NA,,,,,,,44.8%,"$750,750 ","Rm. 4,055, 469","$1,626,243 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
American Express Company mit Beschrankter Haftung,"73 Unter den Linden Berlin, Germany",,GmbH,ownership,14-May-07,,"The American Express company, Incorporated.","65 Broadway, New York, N.Y.",NA,,,,,,,97.2%,"$1,091,568 ","Rm. 2,109,101","$845,749 ","$69,747 ","Rm. 220,602","$88,461 ",,,0.0,"On July 16, 1941 the German Authorities order the Manager of American Express Company, m.b.H. to close the office in Berlin. All accounts carries by American Express Office with American Express Company, m.b.H. were transferred to Deutche Bank, Berlin as of August 31, 1941. Last Balance Sheet received as of September 30, 1941. Reporting Company will not have complete information as to disposition of assets until after the war.",,False,False,True,False
Anker Kohlen & Brikettwerke G.m.b.H.,"Mannheim, Germany",,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.","420 Lexington Ave., N.Y. 17, N.Y.","Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,33%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
ARMCO Eisen G.m.b.H.,"37 Secanstrasse, Cologne, Germany",,GmbH,ownership,9-Aug-27,,The ARMCO International Corporation,"703 Curtis Street, Middletown, Ohio",NA,,,,,,,100%,"$102,862 ","Rm. 1,021,455","$409,603 ",NA,NA,NA,,,0.0,"No information concerning this investment has been received by the reporter since April 30 1941. As of October 31, 1942, the investment was written off as worthless on the books of the reporter, being charged to account ""Loss From Destruction or Seizure of Property"".",,False,False,True,False
Artus Hanse Transport G.m.b.H.,Koenigsberg (East Prussia) Germany,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.","420 Lexington Ave., N.Y. 17, N.Y.",Kohlen Import & Poseidon A.G. (Koenigsberg (East Prussia) Germany,,,,,,,27%,NA,NA,NA,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
Associated Merchandising Corp. GmbH,114 Lindenstrasse Berlin S. W. 68 Germany,114 Lindenstrasse Berlin S. W. 68 Germany,GmbH,ownership,1920,,Associated Merchandising Corporation,"1440 Braodway New York, N.Y.",NA,,,,,,,100%,"$24,550 ","Rm. 171,735","$68,866 ",None,None,None,,,0.0,NA,,False,False,True,False
Associated Press,"Berlin, Germany",,Branch,branch,Post-1900,,Associated Press,"50 Rockefeller Plaza, N.Y., N.Y.",NA,,,,,,,NA,"$11,184 ","$11,184 ","$11,184 ",None,None,None,,,0.0,NA,,False,True,False,False
The Atlantic Refining Company Germany GmbH,,,GmbH,ownership,11-Dec-22,,The Atlantic Refining Company,,NA,,,,,,,100%,"$537,084 ","Rm. 1,600,604","$641,842 ",None,None,None,,,0.0,NA,,False,False,True,False
Atreco Oel-Handels GmbH.,,,GmbH,ownership,9-Apr-36,,The Atlantic Refining Company,,The Atlantic Refining Company Germany GmbH,,,,,,,100%,"Rm. 20,000","Rm. 20,000","$8,020 ","Rm. 20,000","Rm. 20,000","$8,020 ",,,0.0,NA,,False,False,True,False
"Baruta Import and Export, GmbH",,,GmbH,ownership,NA,,International Telephone and Telegraph Corp.,,Telephone Fabrik Berliner A.G.,,,,,,,67%,"Rm. 18,000","Rm. 17,229","$6,708 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Baruta Import and Export, GmbH",,,GmbH,ownership,4-Jan-22,,International Telephone and Telegraph Corp.,,Telephone Fabrik Berliner A.G.,,,,,,,33%,"Rm. 11,000","Rm. 8,615","$3,455 ","Rm. 9,894","Rm. 9,894","$3,967 ",,,0.0,NA,,False,False,True,False
Bates Maschinen GmbH,,,GmbH,ownership,3-Oct-25,,St. Regis Paper Co.,,NA,,,,,,,100%,"$36,697 ","Rm. 98,065","$39,324 ",None,None,None,,,0.0,NA,,False,False,True,False
Bayerische Mineral-Industrie A.G.,,,Corporation (Aktiengesellschaft),ownership,15-Nov-30,,Bavarian oil and Gas Corporation,,NA,,,,,,,90%,"$689,064 ","Rm. 1,727,996","$692,926 ",NA,NA,NA,,,0.0,"We have no information presently available here as to possible losses and damage caused by the war on ""scorched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
Bayerische Reisseugfabrik A.G.,,,Corporation (Aktiengesellschaft),ownership,18-Dec-22,,Eugene Dietzgen Co.,,NA,,,,,,,100%,"$200,000 ","Rm. 692,806","$277,815 ",None,None,None,,,0.0,No knowledge of the present condition of the properties is available. No reports received since the start of hostilities between England and Germany in September 1939.,,False,False,True,False
Bekleidungs-Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,14-Sep-23,,"New Jersey Industries, Inc.",,"Emil Koster Aktiengesellschaft (Rosenthalerstrasse 40/41, Berlin C.2",,,,,,,99%,"Rm. 1,850,354.68","Rm. 2,867,816","$1,149,994 ",None,None,None,,,0.0,NA,,False,False,True,False
Berliner Telephonie Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,17-Sep-24,,International Telephone and Telegraph Corp.,,Mix & Genest Aktiengesellschaft,,,,,,,100%,"Rm. 43,633","Rm. 42,890","$17,199 ","Rm. 42,890","Rm. 42,890","$17,199 ",,,0.0,NA,,False,False,True,False
J. E. Bernard & Co. G.m.b.H.,,,GmbH,ownership,NA,,J. E. Bernard & Co. Inc.,,NA,,,,,,,50%,"$20,000 ","Rm. 11,464","$4,597 ",None,None,None,,,0.0,NA,,False,False,True,False
Bernauer & Co.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
Bernhoeft & Wilde,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
"Betz & Jay, GmbH",,,GmbH,ownership,23-Mar-28,,Kraft Cheese Company,,NA,,,,,,,100%,"$28,715 ","Rm. 509,250","$204,209 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
H. B. Blumenthal,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
"Born, Mehring & Co, G.m.b.H.",,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"""Borvisk"" Kunstseiden A. G.",,,Corporation (Aktiengesellschaft),ownership,NA,,"Continental ""Borvisk"" Co.",,NA,,,,,,,NA,"$5,000,000 ","Rm. 12,468,827","$5,000,000 ",None,None,None,,,0.0,NA,,False,False,True,False
"""Borvisk"" Kunstseiden-Vertriebsgesellschaft, m.b.H.",,,GmbH,ownership,NA,,"Swiss ""Borvisk"" Company",,NA,,,,,,,100%,"$25,000 ","Rm. 62,344","$10,025 ",None,None,None,,,0.0,See attachment,,False,False,True,False
Boston Blacking Company G.m.b.H.,,,GmbH,ownership,23-Dec-03,,United Shoe Machinery Corporation,,NA,,,,,,,100%,"$72,062 ","Rm. 2,005,023,31","$804,014 ",None,None,None,,,0.0,NA,,False,False,True,False
Brankaer Eisenwerke,,,Corporation (Aktiengesellschaft),ownership,1928,,The Yale & Towne Manufacturing Company,,NA,,,,,,,NA,"$90,990 ","Rm. 975,212","$391,060 ",None,None,None,,,0.0,"Some time prior to 1939 the German Government took over Czechoslovakia and renamed it Sudetenland. At the same time the German Government changed the currency of Czechoslovakia from kroner to reichmarks and established legal rates of exchnage to be used for the conversion. The property reported herein was subjected to such conversion. The reporter believes that promptly upon the declaration of war with the United Stated on December 11, 1941 all of the properties reported herein located in Germany, were taken over by the German Government. The reporter has been unable to obtain any specific information or proof as to the precise manner of this confiscation by the German Government. 
No adjustment whatever has been reflected in the values given to reflect any losses resulting from any action taken by the German Government referred to above.",,False,False,True,False
The Brecht Corporation G.m.b.H.,,,GmbH,ownership,about 1904,,The Brecht Corporation,,NA,,,,,,,NA,"$62,433 ","Rm. 144,694","$62,433 ",None,None,None,,,0.0,NA,,False,False,True,False
Busscher & Hoffman Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,"October 18, 1852",,Pan Foreign Corporation,,Ebano Asphalt Werke Aktiengesellschaft,,,,,,,40%,"Rm. 460,250",Unknown,Unknown,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
"Butler Brothers, G.m.b.H.",,,GmbH,Partnership,22-Jul-09,,Butler Brothers,,NA,,,,,,,NA,"$80,925 ",NA,"$80,925 ",NA,NA,NA,,,0.0,NA,,True,False,False,False
"Butler Brothers, G.m.b.H.",,,GmbH,ownership,22-Jul-09,,Schoonmaker-Scott Company,,NA,,,,,,,98%,"$37,240 ",NA,"$16,239 ",None,None,None,,,0.0,"Investment written off December 31, 1942 because it became worthless December 8, 1941, the date US declared war on Germany",,False,False,True,False
Cehapon Werk G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,Unknown,Unknown,Unknown,,,#VALUE!,NA,,False,False,True,False
Chesebrough Manufacturing Co. G.m.b.H.,,,GmbH,ownership,1-Jun-23,,Chesebrough Manufacturing Co. Consolidated,,NA,,,,,,,NA,"$58,917 ","Rm. 233, 636","$93,688 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Coca-Cola G.m.b.H.,,,GmbH,ownership,1930,,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",,"The Coca-Cola Company, Limited (Oakely Works, Southfield Road, Acton, London, W4, England)",,,,,,,85%,"£90,940","Rm. 2,237,505","$897,240 ",None,None,None,,,0.0,NA,,False,False,True,False
Coca-Cola G.m.b.H.,,,GmbH,ownership,1930,,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",,"N. V. Netherlandische Coca-Cola Mij. Velserveg 5, Slotercijk Amsterdam, West Holland",,,,,,,9%,"Rm. 854,376","Rm. 230,496","$1,090,117 ",None,None,None,,,0.0,NA,,False,False,True,False
Coca-Cola G.m.b.H.,,,GmbH,ownership,NA,,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",,"Societe de Placement ""Alimentation"", S. A. (37 Boulevard, Joseph 11, Luxembourg)",,,,,,,9%,"B.Fcs. 854,376","Rm. 230,496","$28,109 ",None,None,None,,,0.0,NA,,False,False,True,False
Coca-Cola G.m.b.H.,,,GmbH,ownership,1930,,"The Coca-Cola Export Corporation (101 W. 10th Street Wilmington, Delaware)",,NA,,,,,,,6%,"$62,910 ","Rm. 140,141","$56,195 ",None,None,None,,,0.0,NA,,False,False,True,False
Comptometer G.m.b.H.,,,GmbH,ownership,April 1912,,Felt & Tarrant Mfg. Co.,,NA,,,,,,,100%,"$57,096 ","Rm. 177,121","$71,025 ",None,None,None,,,0.0,NA,,False,False,True,False
Convertgarten A.G.,,,Corporation (Aktiengesellschaft),ownership,"March 14, 1889",,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,51%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.,,,GmbH,ownership,about 1930,,American Nickel Alloy Mfg. Corp.,,N. V. Chemo Metallurgische Industrie,,,,,,,100%,"Guilder 58,710","Rm. 300,188","$120,375 ",NA,NA,NA,,,0.0,"All property, especially the valuable factory and Nica Nickelindustrie A.G., was properly taken over by the Nazis through forced sale.
The book value of the factory according to the balance sheet was $37,694, but the actual value of this property, becuase of investments in buildings and additions, was at least RM 200,000.",,False,False,True,False
Damm & Ladwig Kommandit Gesellschaft and Dulv Aktien Gesellschaft,,,Corporation (Aktiengesellschaft),ownership,1928,,The Yale & Towne Manufacturing Company,,NA,,,,,,,NA,"$1,009,933 ","Rm. 5,509,273","$2,209,218 ",None,None,None,,,0.0,"The reporter believes that promptly upon the declaration of war with the United States December 11, 1941, all of the properties reported herein, located in Germany, were taken over by the German Government.
The reporter has been unable to obtain any specific information or proof as to the precise manner of this confiscation by the German Government. No adjustment whatever has been reflectied in the values shown to reflect any lossed resulting from any action taken by the German Government referred to above.",,False,False,True,False
Branch-Dr. Deimel's Maschenleinen-Fabrik-(Deimel Linen-Mesh System Co. U.S.A.),,,Branch,branch,1902,,The Deimel Linen-Mesh System Company,,NA,,,,,,,NA,,,,,,,,,#DIV/0!,NA,,False,True,False,False
Denver Chemical Mfg. Co. G.m.b.H.,,,GmbH,ownership,11-Apr-05,,Denver Chemical Mfg. Co.,,NA,,,,,,,100%,"$18,571 ","Rm. 85,186","$85,186 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Deutsch-Amerikanische Petroleum-Gesellschaft,,,Corporation (Aktiengesellschaft),ownership,"February 25, 1890",,Standard Oil Company (New Jersey),,NA,,,,,,,100%,"$32,187,097 ","Rm. 144,859,977","$58,088,851 ",None,None,None,,,0.0,NA,,False,False,True,False
Deutsch-Amerikanische Petroleum-Gesellschaft,,,Corporation (Aktiengesellschaft),ownership,NA,,Standard Oil Company (New Jersey),,NA,,,,,,,NA,"$2,005,000 ","Rm. 5,000,000","$2,005,000 ",None,None,None,,,0.0,NA,,False,False,True,False
Deutsche American Shipping Co. (Bremen) G.m.b.H.,,,GmbH,ownership,29-Oct-24,,"Lykes Bros. Steamship Co., Inc.",,NA,,,,,,,52%,"$6,976 ","Rm. 24,929","$9,997 ",None,None,None,,,0.0,NA,,False,False,True,False
Deutsche American Shipping Co. (Bremen) G.m.b.H.,,,GmbH,ownership,29-Oct-24,,"Lykes Bros. Steamship Co., Inc.",,NA,,,,,,,100%,"$9,285 ","Rm. 3,664","$1,469 ",None,None,None,,,0.0,"Investment in Deutsche American Sipping Co. (Bremen) G.m.b.H, was believd to have been lost by reason of World War II and the cost thereof, $6,975 was written off reporter's books as at December 31, 1940 by charging Surplus Account and crediting Investment account.",,False,False,True,False
Deustche Babcock & Wilcock,,,Corporation (Aktiengesellschaft),ownership,NA,,The Babcock & Wilcox Company,,NA,,,,,,,42%,"$50,000 ","Rm. 5,412,962","$2,170,598 ",None,None,None,,,0.0,"Investment in Deutsche American Sipping Co. m.b.H, was believd to have been lost by reason of World War II and the cost thereof, $9,284 was written off reporter's books as at December 31, 1940 by charging Surplus Account and crediting Investment account.",,False,False,True,False
Deutsche Burroughs Rechenmaschinen A.G.,,,Corporation (Aktiengesellschaft),ownership,12-Dec-28,,Burroughs Adding Machine Company,,NA,,,,,,,100%,"$944,863 ","Rm. 277,823.66","$111,407 ",None,None,None,,,0.0,NA,,False,False,True,False
Deutsche Carborumdum Werke,,,GmbH,ownership,24-Sep-06,,The Melltone Corporation,,NA,,,,,,,100%,"$208,333 ","Rm. 2,939,042","$1,178,555 ",None,None,None,,,0.0,"The Deutsche Carborundum Werke is situated some six or eight miles out Dusseldorf in an industrial center called Reisholz. Naturally, we have had no means of communication with this plant since Pearl Harbor, but up to that time they were carrying on business as usual, under controlled management. We have reason to believe that in spite of the bombing in and around Dusseldorf, our plant is still intact. In any event, we have heard nothing to the contrary.",,False,False,True,False
Deutsche-Fox Film A.G.,,,Corporation (Aktiengesellschaft),ownership,1-Mar-22,,Twentieth Century-Fox Film Corp.,,NA,,,,,,,100%,"$4,446 ","Rm. 547,652","$219,606 ",None,None,None,,,0.0,"The Net Assets of this company amounting to $5,476 were written-off to Profict & Loss on the Parent companys books due to currency restrictions and other business restrains imposed upon the foreign company by the German Government.",,False,False,True,False
Deutsche Gasolin Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,4-May-26,,Standard Oil Company (New Jersey),,Deutsch-Amerikanische Petroleum-Gesellschaft,,,,,,,25%,"Rm. 3,150,411","Rm. 3,212,829","$1,288,344 ",Unknown,Unknown,Unknown,,,0.0,NA,,False,False,True,False
Deutsche Heraklith A.G.,,,Corporation (Aktiengesellschaft),ownership,1928,,American -Austrian Magnesite Corporation,,Kaningwerk A.G.,,,,,,,75%,"Sch. 2,133,020","Rm. 306,500","$86,892 ",None,None,None,,,0.0,NA,,False,False,True,False
Deutsche Heraklith A.G.,,,Corporation (Aktiengesellschaft),ownership,1928,,American -Austrian Magnesite Corporation,,"Austrian Magnesite Company Ltd. (5 Pettenbeckstrasse, Munich, Germany)",,,,,,,25%,"Rm. 1,179,465","Rm. 1,206,214","$483,702 ",None,None,None,,,0.0,NA,,False,False,True,False
"Deutsche Hollerith Maschinen Gesellschaft, m.b.H.",,,GmbH,ownership,9-Jul-34,,International Business Machine Corp.,,NA,,,,,,,90%,"$2,731,401 ","Rm. 22,444,209","$9,000,128 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Deutsche Houghton Fabrik, K. G.",,,Kommanditgesellschaft,Partnership,May 1937,,E. F. Houghton & Company,,NA,,,,,,,NA,"$10,659 ","Rm. 26,580","$10,659 ",NA,NA,NA,,,0.0,NA,,True,False,False,False
Deutsche Landerbank Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,1909,,Standard Oil Company (New Jersey),,Deutsch-Amerikanische Petroleum-Gesellschaft,,,,,,,34%,"$27,500,000 ",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Deutsche Libby Gesellschaft, m.b.H.",,,GmbH,ownership,5-Mar-26,,"Libby, McNeill & Libby",,NA,,,,,,,50%,"$59,471 ","mks. 3,405,209","$1,365,489 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Deutsche Maizena Werke A. G.,,,Corporation (Aktiengesellschaft),ownership,10-Apr-22,,Bedford Construction Co.,,NA,,,,,,,NA,"$257,288 ","Rm. 841,581","$257,288 ",None,None,None,,,0.0,NA,,False,False,True,False
Deutsche Maizena Werke A. G.,,,Corporation (Aktiengesellschaft),ownership,10-Apr-22,,Corn Products Refining company,,NA,,,,,,,100%,"$1,760,986 ","Rm. 9,613,391","$3,854,970 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Deutsche Norton-Gesellschaft, m.b.H.",,,GmbH,ownership,28-Sep-09,,Norton Company,,NA,,,,,,,100%,"$480,425 ","Rm. 5,191,245","$2,081,690 ",NA,NA,NA,,,0.0,"Deutsche Norton Gesellschaft in Wesseling, Germany is controlled by the enemy at war with the United States. It is not known what condition this plant may be in at the present time. 
The Notron Company book value of the stock investment and open accounts receivable of Deutsche Norton Gesellschaft was charged off the books to Profit and Loss as of December 31, 1941:
Dr. Profit and Loss $ 465,092
Cr. Investment in Stock of Subsidiary Companies $326,699
Cr. Open Accounts Receivable $138,393",,False,False,True,False
"Defaka, Deustche Familienkaufhaus G.m.b.H.",,,GmbH,ownership,1927,,"New Jersey Industries, Inc.",,"Emil Koster Aktiengesellschaft (Rosenthalerstrasse 40/41, Berlin C.2",,,,,,,100%,Uncertainable,"Rm. 100,000.00","$40,100 ",None,None,None,,,0.0,NA,,False,False,True,False
