page,text,column,US company name,US Company,affiliated German firm name,Master German firm name,section,notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affilated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement,Gemini_firm_name,Gemini_german_subsidiary,Gemini_notes
677,"Moto Meter Gesellschaft, m. b. H., Germany. ",left,MOTO METER GAUGE & EQUIPMENT CORP.,Moto Meter Gauge & Equipment Corp.,"Moto Meter Gesellschaft, m. b. H., Germany. ","Moto Meter Gesellschaft, m. b. H.",Description,"""Also owns 51% of the capital stock of Moto Meter Gesellschaft, m. b. H., Germany. """,True,False,False,True,False,False,False,False,MOTO METER GAUGE & EQUIPMENT CORP.,Moto Meter Gesellschaft m. b. H.,"MOTO METER GAUGE & EQUIPMENT CORP. was incorporated in Delaware on June 4, 1929, as a merger of Moto Meter Co., Inc. and its subsidiaries, Moto Meter Co. of Canada, Ltd., Moto Meter Gesellschaft m. b. H., National Gauge & Equipment Co., and Safe-T-Stat Co. (and its subsidiary, W. G. Nagel Electric Co.). Moto Meter Co. of Canada, Ltd. and W. G. Nagel Electric Co., Toledo, O. jointly own 51% of the capital stock of Moto Meter Gesellschaft, m. b. H., Germany. In August 1930, the company merged with the Toledo Lithographing & Printing Co. The firm manufactures and sells gauges, meters, instruments, appliances, and accessories for measuring and controlling temperature, speed, pressure, and distance, used in connection with automobiles, aircraft, motors, and machinery. Plants are located in La Crosse, Wis. and Toledo, O., with approximately 850 employees in January 1932. The company's stock is listed on the New York Stock Exchange."
763,"Wesseling, Germany; Norton Co. of Canada, Ltd., latter ",right,NORTON CO.,Norton Company,"Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany","Deutsche Norton-Gesellschaft, m.b.H.",Subsidiaries,"""Subsidiaries: Company holds stock control of the following companies: ... Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany...""",True,False,False,True,False,False,False,False,Norton Co.,"Deutsche Norton Gesellschaft m.b.H., Wesseling, Germany","Incorporated under Massachusetts laws June 20, 1885, as the Norton Emery Wheel Co. The Norton Grinding Co., a subsidiary, was merged July 1, 1919. Manufacturers of artificial abrasives, known by trade names ""Alundum"" and ""Crystolon""—grinding machinery and wheels, oil stones, sharpening stones, refractories, non-slip flooring and other articles made of artificial abrasives. Main plant located at Worcester, Mass., on a 400 acre tract. Also owns extensive deposits of raw materials at Bauxite, Ark. In April, 1930, company sold its Niagara Falls plant and transferred operation to its plant in Chippawa, Ont. In Dec., 1927, purchased business of Bethel-Player & Co., Inc. (manufacturers of lapping machinery). In July, 1931, acquired, thru exchange of stock, Behr Manning Corp. (Mass.) manufacturer of abrasive cloth and paper with a plant at Troy, N. Y. The company issued 446,308 shares of $10 par stock in connection with this acquisition. Number of employees, Dec. 31, 1931, 2,200."
775,SoJoL of Paris; in Germany through the Royal Schreib- ,left,"ROYAL TYPEWRTTER CO., INC.","Royal Typewriter Company, Inc.","Royal Schreibmaschinen G. m. b. H., of Berlin","Royal Schreihmaschinen, G.m.b.H.",Description,"""Company has selling agencies In all large cities of the U. S.; also has a Canadian branch. Product is sold ... in Germany through the Royal Schreibmaschinen G. m. b. H., of Berlin...""",False,False,False,True,True,True,False,False,"ROYAL TYPEWRITER CO., INC.","Royal Schreib-maschinen G. m. b. H., of Berlin","Incorporated Oct. 17, 1918, in New York, taking over the Royal Typewriter Co. of New Jersey. The company manufactures and sells typewriting machines, with its factory located at Hartford, Conn. It has selling agencies in all large cities of the U.S. and a Canadian branch. Products are sold internationally through various subsidiaries and affiliates in Great Britain, France, Italy, Poland, and Spain."
802,"Co, Gjn.b.H, Berlin, Germany, and Parker Pen Co, Ltd. ",left,PARKER PEN CO. (THE),Parker Pen Co.,"Parker Pen Co., G.m.b.H., Berlin, Germany","Parker Pen Co., G.m.b.H., Berlin, Germany",Description,"""Also controls Parker Pen Co. (Del.), Parker Pen Co, G.m.b.H, Berlin, Germany, and Parker Pen Co, Ltd. (Eng.), with sales office in London. Direct branches and distributing connections in all principal cities of the world. On Dec. 28, 1929, The Parker Pen Co. disposed of Its approximately 80% stock interest in Parker, A. G, which operated a manufacturing plant in Dossenheim, Heidelberg, Germany, and in Feb, 1930, started a 100% Parker controlled company called Parker Pen, G.m.b.H, at Berlin, Germany, which company operates a sales and service office, and carries a wholesale stock of merchandise which is distributed through a sales force to dealers in Germany, In Feb., 1929, jointly with the Wahl Co, and W. A. Sheaffer Pen Co. organised a jointly owned independent company under the name of Pen Desk Set Co. to which each of the above companies was to assign their patents covering desk sets, fountain pens and holders. In May, 1931, company put out a new product ""Quink”—a quick drying ink. Number of employees, Dec. 31, 1931, about 1,260.""",True,False,False,True,False,False,False,False,PARKER PEN CO. (THE),"Parker Pen Co., g.m.b.H.","Incorporated under Wisconsin laws Feb. 28, 1892. Manufactures and sells fountain pens and patented pencils through about 40,000 retailers. Plant is located at Janesville, Wis., with 80,000 sq. ft. floor space. Operates a branch factory in Toronto (Parker Fountain Pen Co., Ltd.) and a sales office in London (Parker Pen Co., Ltd.). Has direct branches and distributing connections in all principal cities worldwide. On Dec. 28, 1929, disposed of its approximately 80% stock interest in Parker, A. G., which operated a manufacturing plant in Dossenheim, Heidelberg, Germany. In Feb., 1930, established a 100% controlled company called Parker Pen Co., g.m.b.H. at Berlin, Germany, which operates a sales and service office and distributes wholesale merchandise. In Feb., 1929, jointly organized Pen Desk Set Co. with The Wahl Co. and W. A. Sheaffer Pen Co. to assign patents for desk sets, fountain pens, and holders. In May, 1931, launched a new product ""Quink,"" a quick drying ink. Number of employees as of Dec. 31, 1931, was about 1,250. Management includes G. S. Parker (President), B. C. Parker (1st Vice-Pres. and Treas.), K. S. Parker (2nd Vice-Pres. and Asst. Treas.), and B. M. Jeffris (Sec.). General Auditors: Arthur Andersen & Co. Annual meeting is March 15. Office is in Janesville, Wis."
814,"ment witE Fulda Rubber Co. of Fulda, Germany and Avon- ",right,SEIBERLING RUBBER CO.,Seiberling Rubber Co.,"Fulda Rubber Co. of Fulda, Germany","Fulda Rubber Co. of Fulda, Germany",Description,"""Has working agreement with Fulda Rubber Co. of Fulda, Germany...""",False,False,False,True,False,False,False,True,Seiberling Rubber Co.,Fulda Rubber Co.,"DEBENTURE NOTES: 1. Seiberling Rubber Co. 6% debenture gold notes: Authorized, $4,000,000; outstanding, April 19, 1932, $2,950,000; retired, $750,000. Due as follows: $1,000,000, Nov. 15, 1932, and $1,250,000, Nov. 15, 1933. Issued in Aug., 1930, to fund bank indebtedness. CAPITAL STOCK: 1. Seiberling Rubber Co. 8% cum. preferred: Authorized, $5,000,000; outstanding, $1,534,600; par $100. Has preference as to assets and dividends. Callable at 110 on any dividend date on 30 days' notice. Annual sinking fund of 5% of largest amount of preferred at any one time outstanding to purchase or call preferred at not exceeding 110. Has no voting power except on default of one year's dividends or sinking fund when preferred assumes equal voting power with common. Subsidiary stock owned by the company shall not be pledged and no additional preferred shall be authorized without consent of two-thirds of preferred outstanding. Company agrees to maintain total net assets equal to 150% and net current assets equal to 110% of par value of preferred outstanding. All accumulated dividends were paid in full in 1928. Regular dividends"
854,acquired a cigarette factory in Germany.,left,"STANDARD COMMERCIAL TOBACCO CO, INC.","Standard Commercial Tobacco Co., Inc.",German-American Tobacco Co.,German-American Tobacco Co.,Description,"""During 1929, acquired a cigarette factory in Germany."" ""On May 20, 1931 German-American Tobacco Co., was incorporated in Delaware by Ery Kabaya, president of Standard Commercial Tobacco Co. and associates to engage in the manufacture of American type cigarettes in Germany. Capital consists of $10,000,00 of preferred stock, and 3,000,000 no par common shares. It is expected that the company will take over the Werkhof Cigarette factory at Bremen, which is now owned by Standard Commercial Tobacco Co.""",False,False,False,True,True,True,False,True,"Standard Commercial Tobacco Co., Inc.",German-American Tobacco Co.,"On May 30, 1931 German-American Tobacco Co. was incorporated in Delaware by Ery Kehaya, president of Standard Commercial Tobacco Co. and associates to engage in the manufacture of American type cigarettes in Germany. Capital consists of $10,000,000 of preferred stock and 3,000,000 no par common stock. It is expected that the company will take over the work-over cigarette factory at Bremen, which is now owned by Standard Commercial Tobacco Co."
858,"Germany. Main works located at Peabody, Mass. Number ",right,TURNER TANNING MACHINERY CO. (THE),Turner tanning Machinery Co.,,,Description,"""Branches located at Philadelphia, Pa., Newark, N. J , Milwaukee, Wis.; Leeds, England; Paris, France; Frankfurt, Germany.""",False,False,False,False,False,True,False,False,Turner Tanning Machinery Co.,"Frankfurt, Germany (branch location)","The company manufactures hide and leather working machinery and belt makers machinery system parts and repairs. It has branches in Philadelphia, Pa., Newark, N. J., Milwaukee, Wis., Leeds, England, Paris, France, and Frankfurt, Germany. Main works are located at Peabody, Mass. The company acquired Vaughn Machine Co. and Vaughn Road Co. in 1902, and took over the business of the Whitney Machine Co. in June 1929."
901,"Ohio, and Schwetzingen, Germany. ",left,PFAUDLER CO. (THE),The Pfaudler Co.,"Pfaudler Werke A. G. at Schwetzingen, Germany",,Description,"""Owns the Enamelled Metal Products Corp, Ltd., of London; the Pfaudler Werke A. G. at Schwetzingen, Germany""",True,False,True,False,False,True,False,False,PFAUDLER CO. (THE),"Pfaudler Werke A. G. of Schwetzingen, Germany","Incorporated May 10, 1902, under New York laws. Manufactures glass-lined steel products for dairy, chemical, pharmaceutical, food processing, brewing and similar uses. Has plants in Rochester, N. Y., Elyria, Ohio, and Schwetzingen, Germany. Also owns Enamelled Metal Products Corp., Ltd., of London; Pfaudler Sales Co., San Francisco; Pfaudler Co. of Michigan, Detroit; and The Pfaudler Co. of Canada, Ltd., Montreal. Jointly owns the entire capital stock of General American Tank Car Corp. with General American Tank Car Corp., Chicago."
936,°f Munich.. Germany; Blectrochemloal ,right,BUFFALO ELECTRO-CHEMICAL CO. INC.,Buffalo Electro-Chemical Co.,"M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany",,Bonded Debt,"""Unconditionally guaranteed jointly and severally as to principal and Interest by M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany...""",False,False,False,False,False,False,False,True,BUFFALO ELECTRO-CHEMICAL CO. INC.,None mentioned,"Incorporated in New York in June 1906, manufacturing chemical compounds. Its bonds are unconditionally guaranteed by Merck of Munich, Germany, Electrochemical Works of Arenau, Switzerland, and Hydrox Chemical Co. of Illinois. The company commenced operation in August 1907 and had 110 employees as of April 1, 1932."
952,"Bingland, Germany, Central and South ",center,MULTIGRAPH CO.,Addressograph-Multigraph Corporation,,,Description,"""Plant is located at Cleveland, Ohio, and its products are distributed throughout the United States, Canada, England, Germany, Central and South America and other foreign countries through five subsidiary companies, thirty two branches and fifty direct sales offices""",True,False,False,False,False,True,False,False,MULTIGRAPH CO.,One of five unnamed subsidiary companies that distribute products in Germany.,"Incorporated in Ohio Dec. 12, 1903, as American Multigraph Co. and incorporated in Delaware Dec. 1, 1930 under same title. Name changed to present title Dec. 30, 1931. Company manufactures and sells a line of machines (consisting of fifteen models with about twenty attachments) for every office printing, form typewriting and folding requirement, including a complete line of accessories and supplies. Plant is located at Cleveland, Ohio, and its products are distributed throughout the United States, Canada, England, Germany, Central and South America and other foreign countries through five subsidiary companies, thirty-two branches and fifty direct sales offices. Employs approximately 1,025."
973,"and Berlin, Germany. ",right,PENTON PUBLISHING CO. (THE),Penton Publishing Co.,,,Description,"""Maintains offices in Cleveland, New York, Pittsburgh, Chicago, Cincinnati. Washington; London and Birmingham, Eng.; Paris, France; and Berlin, Germany. """,False,False,False,False,False,True,False,False,FENTON PUBLISHING CO. (THE),"None explicitly named, but has a mailing office in Berlin, Germany.","Incorporated in 1908 under Ohio laws. Publishers of business and technical journals including ""Steel"", ""Daily Metal Trade"", ""The Foundry"", ""Abrasive Industry"", ""Automotive Abstracts"", and ""Machine Design"" through subsidiary The Johnson Publishing Co. Also publishes ""Service and Filling Station"" in London through The Fenton Publishing Co., Ltd. Owns a building in Cleveland, Ohio. Mailing offices in various US cities, London, Paris, France, and Berlin, Germany. Number of employees as of Dec. 31, 1931 was 240."
1056,"In connection with Th. Goldschmidt of Essen, Germany, Goldschmidt Detinning Co, (now Metal & Thermit Corp, which ",center,AMERICAN CAN COMPANY,American Can Company,"Th. Goldschmidt of Essen, Germany",,Description,"""For list of companies consolidated, see previous editions. In March, 1908, acquired an interest in the Sanitary Can Co. In connection with Th. Goldschmidt of Essen, Germany, Goldschmidt Detinning Co, (now Metal & Thermit Corp, which see), was organized. Latter operates a plant for detinning scrap. American Can Co. has contracted to sell this company its output of scrap for a term of yean. In Aug., 1925, acquired property of Central Bag Mfg. Co, located in Chicago for $600,000 cash. """,False,False,False,False,False,False,False,True,American Can Company,Goldschmidt Detinning Co.,"Incorporated under New Jersey laws on March 19, 1901, as a consolidation of leading U.S. factories manufacturing tin cans, packages, and receptacles. Organized Goldschmidt Detinning Co. (now Metal & Thermit Corp. of America) in March 1908, in connection with Th. Goldschmidt of Essen, Germany. Acquired Central Bag Mfg. Co. for $600,000. Owns all capital stock of American Can Co. of Mass. Organized British Can Co. with Thermokept Corp. in Dec. 1929. British Can Shares, Inc. was formed in July 1930 to own a substantial interest in British Can Co., Ltd. Operates numerous factories across the U.S. and Canada. Employs about 16,000 people."
1094,"(Germany), Berlin ",left,AMERICAN RADIATOR & STANDARD SANITARY CORPORATION,American Radiator & Standard Sanitary Corporation,"Nationale Radiator Gesellschaft, m.b.H. (Germany), Berlin",Nationale Radiator Gesellschaft m.b.H.,Subsidiaries,,True,False,False,True,False,False,False,False,American Radiator & Standard Sanitary Corporation,"National Radiator Co. (Germany), Berlin","Notes include: (*) Before debiting $832,342 adjustment of foreign exchange valuations. After preferred dividends (including those of subsidiaries). (†) Represented by no par shares: 1931, 10,158,199; 1930, 10,158,015; 1929, 10,158,015. (‡) Minority interest in capital and surplus of underlying companies, including redeemable preferred stock of Detroit Lubricator Co. and Kewanee Furnace Co. outstanding at par $2,355,700. (§) After deducting $100,000 for losses on accounts in closed banks. (¶) Represents 74,471 shares at cost. CONTINGENT LIABILITY, as of Dec. 31, 1931, on drafts, acceptances and notes receivable discounted, $311,877, and discounted time payment notes of Heating & Plumbing Finance Corp. $1,500,000."
1108,Maachinenfabrik Augsburg Nurnberg A. C. of Germany for latter company’s Diesel engine development for railway ,center,NEW YORK SHIPBUILDING CORPORATION,New York Shipbuilding Corporation,Maschinenfabrik Augsburg Nurnberg A. G. of Germany,,Description,"In March, 1927, company completed license agreement with Maschinenfabrik Augsburg Nurnberg A. C. of Germany for latter company’s Diesel engine development for railway traction purposes. New York Shipbuilding Co. is a wholly owned subsidiary.",False,False,False,False,False,False,False,True,NEW YORK SHIPBUILDING CORPORATION,None explicitly mentioned as a subsidiary. The firm had a license agreement with Maschinenfabrik Augsburg Nurnberg A. C. of Germany.,"The 1931 consolidated income account does not reflect the profit on sale of the Scintilla Magneto Co. amounting to $1,650. The 1930 income account does not provide for disputed claims against approximately $421,000 and against which the company has a surety contract for $125,000. According to the annual report for 1929 the consolidated net income is after writing off very substantial expenditures for improvements in both the electrical and shipbuilding divisions. In addition, unavoidable delays in work on Navy contracts forced certain revenues over into 1930."
1144,"etc., located in Upper Suesia, Germany subject to certain ",right,SILESIAN-AMERICAN CORPORATION,Silesian-American Corporation,Bergwerkgesellschaft Georg von Giesche's Erben,Bergwerkgesellschaft Georg von Giesche's Erben,Bonded Debt,"Security — A joint mortgage on nine mines, mining properties and lands including buildings, concentrator, plants, etc., located in Upper Silesia, Germany subject to certain charges under the Dawes Plan and also small mining royalties.",True,False,False,True,False,False,False,False,Giesche Spolka Akcyjna,Georg von Giesche's Erben Handelsgesellschaft (Danzig),"Originally incorporated under the laws of the State of Prussia, Giesche Spolka Akcyjna was reincorporated as a Polish corporation. Its principal properties include zinc, lead, and coal mines located in the Katowice district, Poland. The company produces approximately 56,800 tons of zinc, 5,000 tons of lead annually, and 225,000 tons of coal monthly. In 1928, the company acquired a site in the harbor of Gdynia, Poland."
