,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,Name of Foreign Business,moodys32 affiliated German firm name,moodys32 notes,moodys32 mentions a subsidiary,moodys32 mentions stock ownership,moodys32 subsidiary is AG,moodys32 mentions an affilated company,moodys32 mentions a plant/office/branch,moodys32 is a subsidiary of a German firm,moodys32 other types of agreement,moodys34 affiliated German firm name,moodys34 reviewed_notes,moodys34 mentions a subsidiary,moodys34 mentions stock ownership,moodys34 subsidiary is AG,moodys34 mentions an affilated company,moodys34 mentions a plant/office/branch,moodys34 is a subsidiary of a German firm,moodys34 other types of agreement,tenenbaum affiliated German firm name,tenenbaum notes,tenenbaum mentions a subsidiary,tenenbaum mentions stock ownership,tenenbaum subsidiary is AG,tenenbaum mentions an affilated company,tenenbaum mentions a plant/office/branch,tenenbaum is a subsidiary of a German firm,tenenbaum other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
30,Brown Harrimann & Company Incorporated,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ilseder Hütte. ']
31,Buffalo Electro-Chemical Co.,False,True,True,False,False,False,,"M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany","""Unconditionally guaranteed jointly and severally as to principal and Interest by M. Merck of Munich, Germany; Electrochemical Works of Munich, Germany...""",False,False,False,False,False,False,True,"E. Merck of Munich, Germany; Electrochemical Works of Munich, Germany","Bonded Debt: ... Unconditionally guaranteed jointly and serveally as to principal and interest by E. Merck of Munich, Germany; Electrochemical Works of Munich, Germany; Electrochemical Works of Aarau Switzerland, and Hydrox Chemical Co. Illinois.",False,False,False,False,False,False,True,,,,,,,,,,,
32,Burroughs Adding Machine Company,True,True,True,True,False,False,['Deutsche Burroughs Rechenmaschinen A.G.'],NA,"Other subsidiaries are located in Mexico, Argentine, Cuba, Brazil, Germany, Belgium, Uruguay and Chile.",True,False,False,False,False,False,False,NA,"In section Subsidiaries: ""Other subsidiaries are located in mexico, Argentina, Cuba, Brazil, Germany, Belgium, Uruguay and Chile.""",True,False,False,False,False,False,False,Deutsche Burroughs Rechenmaschinen A. G.,"The BURROUGHS ADDING MACHINE Co. owns outright the Burroughs Adding Machine Ltd (private company) . The latter owns the Deutsche Burroughs Rechenmaschinen A. G., capital 3,000,000 RM. ",True,False,True,False,False,False,False,,
33,Butler Brothers,True,False,False,False,False,False,"['Butler Brothers, G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Carnation Co.,False,True,False,False,False,False,,NA,"""Owns a majority (65%) of the stock of General Milk Co. Inc., which is engaged in export business, and owns and operates four condenseries located In France, Holland and Germany, and operates can factories in France, Holland and Germany.""; the company lists out all the sibsidiaries in the US, but none abroad",False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,
35,Carrier Corporation,False,True,False,False,False,False,,Carrier Lufttechnische Gesellschaft,"""Plants and laboratories of its subsidiaries and affiliates are located in Newark, N. J.; Bridgeport, Pa.; New Brunswick, N. J.; Allentown, Pa.: Chicago, Ill.; London, Eng.; Stuttgart, Germany; Tokio, Japan. "" ""Affiliated companies: ..., Carrier Lufttechnische Gesellschaft, Berlin, Germany, ...""",False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,
36,Celotex Co.,False,True,True,False,False,False,,NA,"""Company supplies over 7,000 retail dealers and operates divisional sales offices in principal cities of the U. S. Sales offices are also maintained in England, Australia, Canada, Argentina, Japan, Germany and Italy.""",False,False,False,False,True,False,False,NA,Sales offices are also maintained in ... Germany,False,False,False,False,True,False,False,,,,,,,,,,,
37,Celotex Co.,False,True,True,False,False,False,,NA,"""Company supplies over 7,000 retail dealers and operates divisional sales offices in principal cities of the U. S. Sales offices are also maintained in England, Australia, Canada, Argentina, Japan, Germany and Italy.""",False,False,False,False,True,False,False,W. H. Nilsson,"Under balance sheet: Investments in and advances to: In 1933, Celotex Co. of Great Britain...., W. H. Nilsson, Germany, $19,516",False,True,False,False,False,False,False,,,,,,,,,,,
38,Central American Plantations Corp.,False,True,False,False,False,False,,NA,"An officer is based in Hamburg, Germany. No subsidiary or agreements are mentioned.",False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
39,Central Cuba Sugar Co.,False,True,True,False,False,False,,NA,"Interest paid J&J 1. at company's office. New York, and at office of Trustees in London, England, in sterling; also in Hamburg. Germany; and Amsterdam, Holland. ",False,False,False,False,False,False,False,NA,"No subsidiary in Germany; in bonded debt: Interest paid July 1, at company's office New York and at office of Trustees in London, England; in sterling; also in Paris, France; Hamburg, Germany; and Amsterdam, Holland in local currencies at the rate of exchange for pound at $4.86, 35.11 francs, 0.40 marks and 18.05 guilders.",False,False,False,False,False,False,True,,,,,,,,,,,
40,Central European Holding Corporation c/o Cotton Brenner & Wrigley,True,False,False,False,False,False,"['Metallkentor, G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chemical Research Corp.,False,False,True,False,False,False,,,,,,,,,,,NA,"""The Gyro process is covered by basic patents in the United States and Canada, England, France, Germany and other foreign countries.""",False,False,False,False,False,False,False,,,,,,,,,,,
42,Chesebrough Manufacturing Co. Consolidated,True,False,False,False,False,False,['Chesebrough Manufacturing Co. G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chicago Pneumatic Tool Co.,True,True,True,True,False,False,"['Internationale Pressluft und Elektricitats Gesellschaft m.b.H. (Ipeg)', 'Pressluftwerkung und Maschinenbau Aktiengesellschaft (Premag)', 'Pressluftwerkung und Maschinenbau Aktiengesellschaft (Premag)']","Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany; Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.","""In Dec., 1925, company acquired from Motoran Werke, American and Canadian manufacturing and selling rights for Diesel engine, made by M. W. M. Benz, Mannheim, Germany."" ""Subsidiaries: Canadian Pneumatic Tool Co., Ltd., Montreal, Canada; Chicago Pneumatic Tool Co. of Masa; Consolidated Pneumatic Tool Co., Ltd. London, Eng.; Internationale Pressluft & Electricitäts Gesellschaft m. b. H. (International Compressed Air and Electric Co.) Berlin - Britz, Germany; Pneumatic Tool Realty Corp., New York City; Presaluft-Werkzeug und Maschinenbau A.G. “Premag"", Berlin, Oberechoeneweide, Germany.""",True,False,True,False,False,False,False,"Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.), Berlin-Oberschoeneweide, Germany, Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)","In section ""Subsidiary Companies"": ...Internationale Pressluft & Elektricitäts Gesellschaft m.b.H. (International Compressed Air and Electric Co.), Berlin-Oberschoeneweide, Germany, Pressluft-Werkzeug und Maschinenbau A.G. ""Premag"" (Berlin-Oberschoeneweide, Germany)",True,False,True,False,False,False,False,"Internationale Pressluft -und Elektrizitäts G.m.b.H.; Pressluft-Werkzeug und Maschinenbau A. G. ""Premag""","The CHICAGO PNEUMATIC TOOL Co. owns all of the Internationale Pressluft -und Elektrizitäts G.m.b.H. and a majority of the Press- luft-Werkzeug und Maschinenbau A. G. ""Premag"", capital 1,000,000 R.M. The two German subsidiaries have a common manufacturing program agreement and make common use of technical improvements and commercial contacts .",True,False,True,False,False,False,True,,
44,Colgate-Palmolive-Peet Co.,True,True,True,True,False,False,['Palmolive-Binder & Ketals G.m.b.H.'],NA,"Through its subsidiaries the company also owns plants at Toronto, Can., Mexico City, Mex., Sydney, Australia, Havana, Cuba, London, Eng., Hamburg, Germany, and Paris, France.
Subsidiaries: The company has organized a number of foreign subsidiaries: in two of these (Colgate-Palmolive-Peet, S. A., and Crusellaa y Campania, B. A , both of Cuba) it owns 61% of the capital stock, while the others are wholly owned. The subsidiaries in Canada Mexico, Cuba, Australia, Paris and Hamburg own and operate factories where most of the principal items of the Palmolive and Colgate lines of toilet soap and toilet preparations are made; some are also made by an English subsidiary and a limited amount of manufacturing is done by agencies of the company in South America. Certain of the company’s products are made for it on contract in many foreign countries.",True,False,False,False,False,False,False,"Palmolive, Binder & Ketels","""Through its subsidiaries the company also owns plants at Toronto, Can., Mexico City, Mex., Sydney, Australia, Havana, Cuba, London, ENg., Hamburg, Germany, and Paris, France.""; ""The subsidiaries in Canada, Mexico, Cube, Australia, Paris and Hamburg own and operate factories where most of the principal items of the Palmolive...."" ""In the first quarter of 1932 concluded negotiations for purchase of an important interest in Rinder & Ketels, German manufacturers of soap products, the new company being known as Palmolive, Binder & Ketels.""",True,True,False,False,True,False,True,Palmolive-Binder & Ketels G.m.b.H.,,True,False,False,False,False,False,False,,
45,Columbia Pictures Corp.,False,False,True,False,False,False,,,,,,,,,,,NA,"There are ... other agencies are located in Canada, England, France, Germany, Sweden, Denmark, Mexico, ...",False,False,False,False,True,False,False,,,,,,,,,,,
46,Combustion Engineering Co. Inc.,True,False,False,False,False,False,"['Kohlenscheidungs-Gesellschaft, m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Commercial Investment Trust Corp.,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Commercial Investment Trust Akt.-Ges. (Citag)'],['Commercial Investment Trust Aktien-Gesellschaft (Gitag).']
48,Consolidated Oil Corporation,False,True,True,False,False,False,,NA,"Marketing Facilities: Company has distribution outlets in nearly all states out of the Rocky Mountains, and in Cuba, Mexico, Great Britain. Holland, Belgium, Germany, and other foreign countries. In the United States company owns and controls approximately 1,100 bulk stations, which supply retail outlets - and large consumers. Supplementing about 12,000 owned and teased service stations, the corporation has more than 21,000 other outlets. More than 55,000 pumps are installed at the total retail outlets of the company.",False,False,False,False,True,False,False,NA,"Marketing Facilities: Companies has distribution outlets in all states except Wyoming, Montana and Idaho; also in Cuba, Mexico, Great Britain, Holland, Belgium, Germany, and other foreign countries.",False,False,False,False,True,False,False,,,,,,,,,,,
49,Consolidated Silesian Steel Corporation,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vereinigte Königs- und Laurahütte Aktien-Gesellschaft für Bergbau- und Hüttenbetrieb'],
50,"Continental ""Borvisk"" Co.",True,False,False,False,False,False,"['""Borvisk"" Kunstseiden A. G.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Continental-Diamond Fibre Co.,False,False,True,False,False,False,,,,,,,,,,,NA,"Controls Haveg Corp., which has through arrangements with German interests the exclusive right to manufacture and sell in America certain acid resisting substances for use in the chemical industry.",False,False,False,False,False,False,True,,,,,,,,,,,
52,Corn Products Refining company,True,False,False,True,False,True,"['Aktien-Malsfabrik Landsburg, A. G.', 'Convertgarten A.G.', 'Deutsche Maizena Werke A. G.', 'Finkenheerder Obstwerke Richard Sonnenberg, A.G.', 'Finkenheerder Obstwerke Richard Sonnenberg, A.G.', 'Gesellschaft fur Industriebeteiligungen m.b.H.', 'E. Gundlach A.G.', 'Karl Fr. Tollner Nachrmittelfabrik G.m.b.H.', 'C. H. Knorr A.G.', 'C. H. Knorr A.G.', 'Koehlmann Werke A.G.', 'Maizenhaus Gesellschaft m.b.H.', 'Maizenhaus Gesellschaft m.b.H.', 'Mondamin Gesellschaft', 'Norddeustche Eiswerke A.G.', 'Norddeutsche Portland Cementfabrik Misburg', 'Ottensenser Eisenwerke A.G.', 'Rudolf Arndt Dextrinfabrik G.m.b.H.', 'Saatsuchwirtschaft C. Braune G.m.b.H.', 'H. & P. Sauermann, A.G.', 'W. A. Scholten Starke und Syrupfabriken A.G.', 'W. A. Scholten Starke und Syrupfabriken A.G.', 'A.G. vormals Seidel and Neumann', 'Transport und Lagerhaus Gesellschaft, m.b.H.', 'Zuckerrubensaftfabrik']",,,,,,,,,,,,,,,,,,,Deutsche Maizena G.m.b.H.; Deutsche Maizena-Werke A. G.,"The CORN PRODUCTS REFINING Co. owns a majority of the Deutsche MAIZENA G.m.b.H. , capital 3,000,000 RM . , and of the Deutsche MAIZENA-Werke A. G., capital 7,000,000 .",True,False,True,False,False,False,False,,['W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.']
53,"Coty, Inc., New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,NA,owns a warehouse in Germany for the distribution of its cosmetic products,False,False,False,False,True,False,False,,
54,Crown Cork International Corporation,False,True,True,False,False,False,,"H. A. Bender Bohne, of Mannheim, Germany; Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany","Corporation owns directly or through subsidiaries a controlling interest in following companies: Crown Cork Co., Ltd., of Southall, Eng.,  which owns a branch plant at Rio de Janeiro, Brazil; Wallis Crown Cork Co., Ltd of London, Eng.; Crown Cork & Seal Co. Ltd., of Toronto, Can.; Fulham Crown Cork Works (1928) Ltd., of London, Eng.: Corchera Internadonal. of Sevills, Spain; Hijos de H. A, Bender, of San Failli, Spain; H, A. Bender Bohne, of Mannheim, Germany; Korkfabrik, Frankenthal Bender & Co., of Frankenthal, Germany; Société du Bouchon Couronne, of Paris, France.",True,False,False,False,False,False,False,"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany","Corporation owns directly or through subsidiaries a controlling interest in following companies: ... Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",True,False,False,False,False,False,False,,,,,,,,,,,
55,Davega Stores Corp.,False,False,True,False,False,False,,,,,,,,,,,None,No subsidiary in German,False,False,False,False,False,False,False,,,,,,,,,,,
56,"Davis & Company, Incorporated",True,False,False,False,False,False,"['Europacscje Tanklager und Transport, A.G.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Delta Finance,True,False,False,False,False,False,"['Ahr, Krath and Co.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Denver Chemical Mfg. Co.,True,False,False,False,False,False,['Denver Chemical Mfg. Co. G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Dewey & Almy Chemical Co.,False,True,False,False,True,False,,"Dartex, A.G.","Also owns a 50% interest in Dartex, A.G., Germany.",True,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,['Dartex Aktiengesellschaft für Kautschuk-Verarbeitung'],
60,Dietaphone Corporation,True,False,False,False,False,False,['Dietaphone Co. m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,E. F. Houghton & Company,True,False,False,False,False,False,"['Deutsche Houghton Fabrik, K. G.', 'Houghton Deutsche Fabrik K.G.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,E.I. du Pont de Nemours and Company,True,True,True,True,True,True,['Duco Aktiengesellschaft'],NA,"During 1929, company also joined In the formation of two new German companies to undertake the manufacture and sale in Germany of pyroxylin finishes, including Duco, and of Ventube, a rubber-coated fabric tubing used for mine ventilation and in tunnel construction work.",False,False,False,False,False,False,True,NA,"The text mentions the ""company joined the formation of two new German companies"" in 1929 to undertake the manufacture and sale of pyroxylin finishes (Duco) and Ventube (rubber-coated tubing) in Germany, but their specific names are not provided.",True,False,False,False,False,False,False,Duco A. G.; Dynamit A. G.; Deutsche Gold und Silber Scheideanstalt; I. G. Farbenindutrie,,True,True,True,False,False,False,True,['Dynamit-Act.-Ges. vormals Alfred Nobel & Co.'],['Dynamit-Actien-Gesellschaft vormals Alfred Nobel & Co.']
63,Eastman Kodak Company,True,True,True,True,True,False,['Kodak Aktiengesellschaft'],"Chemische Werke Odin (Germany), Kodak Aktiengesellschaft (Germany) ","Company and subsidiaries own fifteen manufacturing plants located in the United States, Canada, England, France, Germany, Hungary and Australia.",True,False,True,False,False,False,False,Kodak Gesellschaft m. b. H. ; Kodak Aktiengesellschaft; Chemische Werke Odin (Germany),"In description: ""At its inception the present company acquired the entire captital stock of the following corporations: ... and Kodak Gesellschaft m. b. H., of Berlin (capital, marks, 100,000)"" ""On Dec., 1, 1931 purchased the camera works of Dr. August Nagel, located at Stuttgart, Germany. This factory is now operated under supervision of Dr. Nagel, as a branch of Kodak Aktiengesellschaft, Berlin."" Also in Subsidiaries.",True,False,True,False,True,False,False,Kodak A. G.,,True,False,False,False,False,False,False,['Kodak Aktiengesellschaft'],
64,Eberhard Faber Pencil Company,True,False,False,False,False,False,['Eberhard Faber Kommanditgesellschaft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
