German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,Other indicators,Other indicators are strong
,,USB,AG,,Westdeutsche Kaufhof Aktiengesellschaft (vorm. Leonhard Tietz A.-G.).,"Vol 93, p. 459",False,False,False,False,True,,False
Singer Nahmaschinen AG,,USC,AG,,Singer Nähmaschinen Aktiengesellschaft.,"Vol 93, p. 559",False,False,True,False,False,,False
Vereinigte Riegel- und Schlossfabriken Act.-Ges.,,USC,AG,,Vereinigte Riegel- und Schlossfabriken Aktiengesellschaft.,"Vol 93, p. 588",False,False,True,False,False,,False
Bayerische Reisszeugfabrik AG,,USC,AG,,"Bayerische Reißzeugfabrik, Aktiengesellschaft.","Vol 93, p. 601",False,False,True,False,False,,False
Ritter AG,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",USO,AG,Ritter Dental Manufacturing Comp. Inc. in Rochester.,Ritter Aktiengesellschaft.,"Vol 93, p. 651",True,False,False,True,False,,False
,,USB,AG,,Aktiengesellschaft Sächsische Werke,"Vol 93, p. 691",False,False,False,False,True,,False
Porzellanfabriken Paul Rauschert Aktiengesellschaft,,USC,AG,,Porzellanfabriken Paul Rauschert Aktiengesellschaft.,"Vol 93, p. 753",False,False,True,False,False,,False
Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,"Harris, Forbes & Co.",USOP,AG,Bankhaus Chase Harris Forbes Corporation,Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,"Vol 93, p. 877",False,True,False,False,False,,False
Richard Hudnut Aktiengesellschaft,,USC,AG,,Richard Hudnut Aktiengesellschaft.,"Vol 93, p. 940",False,False,True,False,False,,False
Herz-Oelfabriken-Wittenberge-Aktiengesellschaft,,USC,AG,,S. Herz Oelfabriken Wittenberge Aktiengesellschaft.,"Vol 93, p. 945",False,False,True,False,False,,False
Kurt Wachtel AG,,USC,AG,,"Rauchwaren-Zurichterei und -Färberei Kurt Wachtel, Aktiengesellschaft.","Vol 93, p. 1005",False,False,True,False,False,,False
Optima-Maschinenfabrik A.-G.,,USC,AG,,Optima-Maschinenfabrik Aktiengesellschaft in Liqu.,"Vol 93, p. 1058",False,False,True,False,False,,False
,,USB,AG,,Ruhrgas Aktiengesellschaft.,"Vol 93, p. 1159",False,False,False,False,True,,False
Deutsche Fox-Film Aktiengesellschaft,,USC,AG,,Deutsche Fox-Film Aktiengesellschaft,"Vol 93, p. 1204",False,False,True,False,False,,False
Fox Tönende Wochenschau Aktiengesellschaft,,USC,AG,,Fox Tönende Wochenschau Aktiengesellschaft.,"Vol 93, p. 1208",False,False,True,True,False,,False
The Goodyear Tire & Rubber Co. Aktiengesellschaft,The Goodyear Tire & Rubber Company,USOP,AG,The Goodyear Tire & Rubber Co.,The Goodyear Tire & Rubber Co. Aktiengesellschaft.,"Vol 93, p. 1276",False,False,False,True,False,The name Goodyear Tire is very suggestive,True
Claudius Peters Aktiengesellschaft.,The Babcock & Wilcox Company,USOP,AG,Babcock & Wilcox Ltd.,Claudius Peters Aktiengesellschaft.,"Vol 93, p. 1464",False,False,False,False,False,"Large shareholder is Babcock & Wilcox Ltd., London",True
Ford-Werke AG,Ford Motor Company,USO,AG,"Ford Motor Company, Ltd., London",Ford Motor Company Aktiengesellschaft. ,"Vol 94, p. 165",True,True,False,False,False,,False
Walsheim Brauerei Aktien-Gesellschaft vorm. Schmidt & Guttenberger.,,USC,AG,,Walsheim Brauerei Aktien-Gesellschaft vorm. Schmidt & Guttenberger.,"Vol 94, p. 194",False,False,True,False,False,,False
Deutsch-Amerikanische Petroleum-Gesellschaft,Standard Oil Company (New Jersey),USO,AG,Standard Oil Company (N. J.) New York.,Deutsch-Amerikanische Petroleum-Gesellschaft.,"Vol 94, p. 337",True,False,False,False,False,,False
Bayerische Mineral Industrie AG,Bavarian oil and Gas Corporation,USO,AG,"Bavarian Oil and Gas Corporation, Delaware (USA)",Bayerische Mineral-Industrie Aktiengesellschaft.,"Vol 94, p. 347",True,False,False,False,False,,False
"Rheinische Schellackbleiche Ernst Kalkhof, Akt.-Ges.",,USC,AG,,"Rheinische Schellackbleiche Ernst Kalkhof, Aktiengesellschaft.","Vol 94, p. 411",False,False,True,False,False,,False
Akt.-Ges. für Erwerb und Verwaltung von Grundbesitz,,USC,AG,,Aktiengesellschaft für Erwerb und Verwaltung von Grundbesitz.,"Vol 94, p. 476",False,False,True,False,False,,False
Metallisator Akt.-Ges.,,USC,AG,,Metallisator Akt.-Ges.,"Vol 94, p. 503",False,False,True,False,False,,False
Pfaudler-Werke AG,,USC,AG,,Pfaudler-Werke A.-G.,"Vol 94, p. 515",False,False,True,False,False,,False
,,USB,AG,,Dortmunder Gas-Werk Aktiengesellschaft.,"Vol 94, p. 596",False,False,False,False,True,,False
,,USB,AG,,Braunkohlen-Industrie-Aktiengesellschaft Zukunft.,"Vol 94, p. 610",False,False,False,False,True,,False
Kardex Akt.-Ges. fir Büroartikel,,USC,AG,,Kardex Aktiengesellschaft für Büroartikel.,"Vol 94, p. 708",False,False,True,False,False,,False
,,USB,AG,,Gutehoffmmgshiitte Oberhausen Aktiengesellschaft.,"Vol 94, p. 712",False,False,False,False,True,,False
"Billeter & Klunz, Aktiengesellschaft",,USC,AG,,"Billeter & Klunz, Aktiengesellschaft.","Vol 94, p. 742",False,False,True,False,False,,False
Mercedes Buromaschinen Werke AG,Underwood Elliott Fisher Company,USO,AG,"Underwood-Elliott-Fisher Co., New York",Mercedes Büromaschinen-Werke Aktiengesellschaft.,"Vol 94, p. 854",True,False,False,False,False,,False
Credit Aktiengesellschaft für Ford-Fahrzeuge.,,USC,AG,,Credit Aktiengesellschaft für Ford-Fahrzeuge.,"Vol 94, p. 864",False,False,True,False,False,,False
Rödingshof Grundstücks-Akt.-Ges.,,USC,AG,,Rödingshof Grundstücks-Aktiengesellschaft.,"Vol 94, p. 872",False,False,True,False,False,,False
Standard Elektrizitats Ges. AG,,USC,AG,,Standard Elektrizitäts-Gesellschaft Aktiengesellschaft.,"Vol 94, p. 911",False,False,True,False,False,,False
Gasbrennerfabrikation Aktiengesellschaft.,,USC,AG,,Gasbrennerfabrikation Aktiengesellschaft.,"Vol 94, p. 950",False,False,True,False,False,,False
"Haendler & Natermann, Akt.-Ges.",,USC,AG,,"Haendler & Natermann, Aktiengesellschaft.","Vol 94, p. 956",False,False,True,False,False,,False
,,USB,AG,,Metallwarenindustrie Aktiengesellschaft.,"Vol 94, p. 972",False,False,False,False,True,,False
"Alex. Zink, Filzfabrik, Akt.-Ges.",,USC,AG,,"Alex Zink, Filzfabrik, Aktiengesellschaft.","Vol 94, p. 1013",False,False,True,False,False,,False
Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG),"Harris, Forbes & Co.",USOP,AG,"Chase Harris Forbes Corporation, New York",Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG).,"Vol 94, p. 1015",False,True,True,False,True,,False
Hirsch-Bräu Aktiengesellschaft.,,USC,AG,,Hirsch-Bräu Aktiengesellschaft.,"Vol 94, p. 1082",False,False,True,False,False,,False
"Ha-No-Mex, Handels-Akt.-Ges.",,USC,AG,,"Ha-No-Mex, Handels-Aktiengesellschaft in Liqu.","Vol 94, p. 1141",False,False,True,False,False,,False
National-Film Verleih- u. Vertriebs-Aktiengeseilschaft,,USOP,AG,,National-Film Verleih- u. Vertriebs-Aktiengesellschaft in Liqu.,"Vol 94, p. 1164",False,False,False,False,False,Mentions an 'amerik. Rechtsanw. ' on the board,True
W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.,Corn Products Refining company,USO,AG,Corn. Products Refining Cor. in New York.,W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.,"Vol 94, p. 1188",True,False,False,False,False,,False
