German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Description
,Globe Steel Tubes Company,Others,Others,Globe Steel Tubes Company,None,"Vol 1, p. 438","Incorporated under Delaware laws in 1923, acquiring assets of its predecessor, Globe Seamless Steel Tubes Co., a Wisconsin corporation established in 1911. The company manufactures steel boiler tubes and mechanical tubing for various applications including locomotives, marine and stationary boilers, super heaters, and automobiles. Its plant covers approximately 37 acres in Milwaukee, Wis., with a monthly producing capacity of 4,500 tons. On Dec. 31, 1933, Globe Stainless Tube Co. was organized in Milwaukee to handle the manufacturing, designing, and selling of stainless steel tubes and tubular material. For the latest balance sheet, refer to the 1934 Manual."
E. Merck of Munich,Buffalo Electro-Chemical Co.,USC,Others,Buffalo Electro-Chemical Co. Inc.,"E. Merck of Munich, Germany","Vol 1, p. 442","Incorporated under New York laws in 1920, Buffalo Electro-Chemical Co. Inc. manufactures electrochemical products at its plant in Buffalo, N.Y. The company's bonds are unconditionally guaranteed jointly and severally by M. Merck of Munich, Germany; Electrochemical Works of Aarau, Switzerland; and Hydrox Chemical Co. of Illinois."
"Electrochemical Works of Munich, Germany",Buffalo Electro-Chemical Co.,USC,Others,Buffalo Electro-Chemical Co. Inc.,"Electrochemical Works of Munich, Germany","Vol 1, p. 442","Incorporated under New York laws in 1920, Buffalo Electro-Chemical Co. Inc. manufactures electrochemical products at its plant in Buffalo, N.Y. The company's bonds are unconditionally guaranteed jointly and severally by M. Merck of Munich, Germany; Electrochemical Works of Aarau, Switzerland; and Hydrox Chemical Co. of Illinois."
,Central Cuba Sugar Co.,USC,Others,CENTRAL CUBA SUGAR CO.,,"Vol 1, p. 448","Interest paid July 1, at company's office New York and at office of Trustees in London, England; in sterling; also in Paris, France; Hamburg, Germany; and Amsterdam, Holland in local currencies at the rate of exchange for pound at $4.86, 35.11 francs, 0.40 marks and 18.05 guilders."
,"United Statess Lines, Co.",Others,Others,UNITED STATES LINES CO.,None,"Vol 1, p. 466",
,Quaker Oats Co.,Others,Others,The Quaker Oats Company,,"Vol 1, p. 479","Incorporated in New Jersey in 1901, The Quaker Oats Company is an active operating company focused on milling, selling, and handling cereals, notably 'Quaker Oats.' It operates mills in various locations including Essen, Germany. The company expanded through acquisitions like Great Western Cereal Co. (1911), Aunt Jemima Mills Co. (1925), and Muffets Corp. (1927), and has subsidiaries in Great Britain, Ireland, Canada, and Australia. As of April 1934, it had 3,900 employees. The document includes detailed financial statements (balance sheets, income accounts, ratios) and information on capital stock, dividends, and a 1928 stock offering."
The Atlantic Refining Company Germany GmbH,The Atlantic Refining Company,USO,GmbH,THE ATLANTIC REFINING COMPANY,Atlantic Refining Co. of Germany,"Vol 1, p. 510","The Atlantic Refining Company was incorporated in Pennsylvania on April 29, 1870. It is one of the largest manufacturers of lubricating oils, gasoline, and other petroleum products, with extensive operations in the United States and a large export business. Control was held by Standard Oil interests from 1874 until the 1911 dissolution, after which the company began operating independently. In June 1933, Atlantic's shares increased from 5,000 in 1931. Atlantic Refining Co. sold its 50% stock interest in Union Atlantic Co. to Standard Oil Co. of New Jersey at a profit of $1,918,094. On January 11, 1934, Atlantic Oil Producing Co. acquired the entire capital stock of Carroll Oil & Gas Co. The 1931 statement includes a non-recurring profit of $1,483,000 from the sale of capital assets (interest in Near East Development Corp.), which was largely offset by foreign exchange losses. The 7% preferred stock was retired on May 1, 1928. The stock split four for one on October 15, 1928. The company operates refineries in Philadelphia, Franklin, Pittsburgh, and Brunswick (GA), with a total crude running capacity of 83,000 barrels per diem. It also owns a marine fleet (21 tankers, tugs, barges), 443 distributing stations and 597 service stations across multiple states, an office building in Philadelphia, and Atlantic Pipe Line Co. operates 923 miles of trunk and 181 miles of gathering lines in Texas and New Mexico."
"Allgemeine Oel-Handels, GmbH. (Oelhag)",The Atlantic Refining Company,USO,GmbH,THE ATLANTIC REFINING COMPANY,Allgemeine Oel Handels Ges. (Germany),"Vol 1, p. 510","The Atlantic Refining Company was incorporated in Pennsylvania on April 29, 1870. It is one of the largest manufacturers of lubricating oils, gasoline, and other petroleum products, with extensive operations in the United States and a large export business. Control was held by Standard Oil interests from 1874 until the 1911 dissolution, after which the company began operating independently. In June 1933, Atlantic's shares increased from 5,000 in 1931. Atlantic Refining Co. sold its 50% stock interest in Union Atlantic Co. to Standard Oil Co. of New Jersey at a profit of $1,918,094. On January 11, 1934, Atlantic Oil Producing Co. acquired the entire capital stock of Carroll Oil & Gas Co. The 1931 statement includes a non-recurring profit of $1,483,000 from the sale of capital assets (interest in Near East Development Corp.), which was largely offset by foreign exchange losses. The 7% preferred stock was retired on May 1, 1928. The stock split four for one on October 15, 1928. The company operates refineries in Philadelphia, Franklin, Pittsburgh, and Brunswick (GA), with a total crude running capacity of 83,000 barrels per diem. It also owns a marine fleet (21 tankers, tugs, barges), 443 distributing stations and 597 service stations across multiple states, an office building in Philadelphia, and Atlantic Pipe Line Co. operates 923 miles of trunk and 181 miles of gathering lines in Texas and New Mexico."
,Celotex Co.,Others,Others,CELOTEX CO. (THE),,"Vol 1, p. 513","Incorporated under the laws of Delaware in June, 1920, as successor to Louisiana Celotex Co., which company absorbed Celotex Products Co. Manufactures and sells building insulating products from bagasse under the trade name “Celotex” brand insulating cane board. Products include exterior/interior sheathing, plaster base, insulation, and materials for refrigerators. Also merchandises pulp wall boards, rock wool products, and wood fiber hard boards. Owns 150 acres of land in Marrero, La., with a plant capacity of 500,000,000 sq. ft. Acquired a paper mill in New Iberia, La., in Aug., 1929. Supplies over 7,000 retail dealers and operates divisional sales offices in principal U.S. cities, England, Australia, Canada, Argentina, Japan, Germany, and Italy. In 1930, acquired all capital stock of Celotex Co. of Great Britain from Dahlberg Corp. of America."
Deutsche Celotex Vertrieb,Celotex Co.,USO,GmbH,CELOTEX CO. (THE),W. H. Nilsson,"Vol 1, p. 514","In 1930, the firm acquired world-wide patents for Celotex products. It also acquired an interest in Celotex through a stock exchange and owns 31,250 shares of South Coast Co. A reorganization plan was approved by stockholders in September 1930, involving a revolving credit, changes in the directorate, and the issuance of common stock rights. The plan also included amending the certificate of incorporation to remove preemptive rights and granting options to purchase common shares to financing interests and management. In June 1932, the company entered receivership due to a creditor's plea."
,Continental-Diamond Fibre Co.,USC,Others,CONTINENTAL-DIAMOND FIBRE CO.,,"Vol 1, p. 542","Incorporated in Delaware Jan. 23, 1929 to acquire certain properties of Continental Fibre Co. and Diamond State Fibre Co. (both Delaware corporations) and subsidiaries, including the Celeron Co. Companies were the outgrowth of enterprises started in 1906 and 1891 respectively. Manufactures vulcanized fibre, cotton cellulose chemically treated to form a hard bone-like material used in electrical insulation, manufacture of trunks, packing cases, etc.), dilecto, an amber-like substance produced from a chemical union of phenol and formaldehyde, used in manufacture of radio and wireless apparatus and other electrical devices, etc., and mica products including laminated mica in sheet rod and tube form used for electrical insulating purposes. Products are distributed under trade names, Diamond Fibre, Celeron, Dilecto and Micabond. Main plants located at Newark and Marshallton, Del., Valparaiso, Ind., and Bridgeport, Pa.; additional plants in England and France and branch factories at Chicago and Toronto, and warehouses in other cities of the United States. Owns entire capital stocks of Diamond State Fibre Co. of Canada, Ltd., Diamond Fibre Co. (England), La Fibre Diamond (France), Continental-Diamond Fibre Co. of South Carolina and Delaware Hard Fibre Co., which owns entire capital stock of Delaware Fibre Co. In Apr., 1930 acquired Chicago Mica Co. and Fibroc Insulation Co. Controls Haveg Corp. which has through arrangements with German interests the exclusive right to manufacture and sell in America certain acid resisting substances for use in the chemical industry. Number of employees, April 2, 1934, 1,200. Accounts certified by Price, Waterhouse & Co. Note 1: Chicago Transfer & Clearing Co. common: Authorized, $3,000,000 (increased from $5,000,000 July 15, 1929); outstanding, $2,997,700; reserved for conversion, $2,000,000; in treasury, $2,500; par $100. Has voting power. Dividends have been paid as follows: 1913 and 1914, 4%; 1915, 3%; 1916, 4%; 1917, 4%; 1918, 4%; 1919, 3%; 1920, none; 1921, 4%; 1922 to 1931, incl., 5%; 1932, 3%; 1933, 2%; Jan. 2, 1934, 1%. Dividends payable J&J 1. Capital stock accounts certified by Lybrand, Ross Bros. & Montgomery."
J. P. Bemberg A.G.,American Bemberg Corp.,DEO,AG,AMERICAN BEMBERG CORP.,J. P. Bemberg A. G. in Germany,"Vol 1, p. 548","AMERICAN BEMBERG CORP. was incorporated in Delaware to manufacture Bemberg yarns in the United States. It acquired sole rights for the United States to all Bemberg patents and processes exclusively owned by J. P. Bemberg A.G. in Germany. Several directors are listed with Wuppertal-Elberfeld, Germany as their location, indicating a strong German connection. The plant is located near Elizabethton, Tenn., and the executive office is in New York."
,Columbia Pictures Corp.,Others,Others,COLUMBIA PICTURES CORP.,,"Vol 1, p. 592","Incorporated in New York, Jan. 10, 1924 to produce and distribute motion pictures. Corporation is licensed under patents controlled by Western Electric Co. (through its subsidiary Electrical Research Products, Inc.) covering production of so-called sound and talking pictures. Owns and operates fully-equipped studios in Hollywood, Cal., and has its executive and general distribution offices in New York. There are 32 branch distributing offices in the principal centres of the United States and other agencies are located in Canada, England, France, Germany, Sweden, Denmark, Mexico, Panama, Argentina, Cuba, Chile, Brazil, China and Japan. Corporation owns no theatres."
"Hobart Maschinen Gesellschaft, m.b.H.",The Hobart Manufacturing Company,USO,GmbH,Hobart Manufacturing Co.,"Hobart Gesellschaft, Hamburg, Germany","Vol 1, p. 625","Incorporated under Ohio laws March 15, 1913, established in 1895. Manufactures electrical coffee mills, meat chopping, mixing, food cutting, dish washing, metal washing machines, potato peelers, and slicers. Acquired Crescent Washing Machine Co. in Oct. 1926. Operates plants in Troy, Ohio, and Long Island, N.Y. Owns Hobart Mfg. Co. Ltd. (Canada) and Fabricage Maatschappij Hobart Berkel (Rotterdam, Holland). Acquired controlling interest in Kitchen Aid Mfg. Co. in Oct. 1927, which was sold in 1931. Number of employees was 630 as of April 15, 1934."
,Hugo Stinnes Corporation,USO,Others,HUGO STINNES CORP.,,"Vol 1, p. 683","Incorporated in Maryland, Oct. 23, 1928. Owns entire capital stock of Hugo Stinnes Industries, Inc., and controls through stock ownership a group of diversified manufacturing enterprises, immense office buildings, apartment houses and extensive farm and timber lands and long term accounts receivable. It is proposed to liquidate certain manufacturing plants not related to coal industry, part of real estate and long term accounts receivable and certain marketable securities as favorable opportunities present themselves. Company and its subsidiaries, including the controlled mining interests, had 1,761 employees and 9,214 wage-earners at Dec. 31, 1932, a total of 10,975."
Hugo Stinnes G.m.b.H.,"Hugo Stinnes Industries, Inc.",USO,GmbH,"HUGO STINNES INDUSTRIES, INC.",Hugo Stinnes G. m. b. H.,"Vol 1, p. 684","Hugo Stinnes Industries, Inc. is controlled by Hugo Stinnes Corp. and was incorporated in Maryland on Oct. 24, 1928. Its purpose is to own or control stocks representing all of the coal and coal products holdings and other interests owned by Hugo Stinnes Corp. The company owns 55% of Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes) and the entire capital stock of Hugo Stinnes, Ltd. (Hugo Stinnes G. m. b. H.). It also holds other stocks of companies primarily engaged in mining, transportation, and distribution of fuel and fuel products. Mathias Stinnes Mining Corp. operates mines at Karnap, near Essen, and Muelheim, with an annual mining capacity of over 5,700,000 short tons of coal and significant reserves. Together with its subsidiaries, the firm holds a 46% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve. They are also involved in the production of by-products such as gas, electric power, tar oils, ammonium sulphate, glass products, and brick. Hugo Stinnes, Ltd. is an international coal dealer with extensive storage facilities and operations in various ports including Hamburg-Harburg, Muelheim, Stettin, Koenigsberg, Nordhausen, and Duisburg in Germany, among others globally."
Mathias Stinnes G.m.b.H.,"Hugo Stinnes Industries, Inc.",USO,GmbH,"HUGO STINNES INDUSTRIES, INC.",Gewerkschaft Mathias Stinnes,"Vol 1, p. 684","Hugo Stinnes Industries, Inc. is controlled by Hugo Stinnes Corp. and was incorporated in Maryland on Oct. 24, 1928. Its purpose is to own or control stocks representing all of the coal and coal products holdings and other interests owned by Hugo Stinnes Corp. The company owns 55% of Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes) and the entire capital stock of Hugo Stinnes, Ltd. (Hugo Stinnes G. m. b. H.). It also holds other stocks of companies primarily engaged in mining, transportation, and distribution of fuel and fuel products. Mathias Stinnes Mining Corp. operates mines at Karnap, near Essen, and Muelheim, with an annual mining capacity of over 5,700,000 short tons of coal and significant reserves. Together with its subsidiaries, the firm holds a 46% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve. They are also involved in the production of by-products such as gas, electric power, tar oils, ammonium sulphate, glass products, and brick. Hugo Stinnes, Ltd. is an international coal dealer with extensive storage facilities and operations in various ports including Hamburg-Harburg, Muelheim, Stettin, Koenigsberg, Nordhausen, and Duisburg in Germany, among others globally."
Nationale Radiator Gesellschaft m.b.H.,American Radiator & Standard Sanitary Corporation,USO,GmbH,AMERICAN RADIATOR & STANDARD SANITARY CORPORATION,"Nationale Radiator Gesellschaft, m. b. H. (Germany), Berlin","Vol 1, p. 712","Incorporated in Delaware on March 26, 1929, through the acquisition of stock from American Radiator Co. and Standard Sanitary Mfg. Co. The company is engaged in the manufacture of heating apparatus and plumbing goods. It acquired Campbell Metal Window Corp., Cochran-Sargent Co., Rose Heater & Mfg. Co., and a 51% interest in Talleres Roca, S. A. Products include radiators, boilers, furnaces, water heaters, air conditioning apparatus, and various plumbing fixtures. Products are distributed through sales offices in 40 states in the United States, Canada, and 15 principal European countries. Key manufacturing plants are located in Buffalo, Detroit, Kansas City, Louisville, Litchfield, Birmingham, St. Paul, Springfield, Wilmington, Baltimore, Toronto, Monaca, Kewanee, Tonawanda, Campo, Trenton, and Fuldspaar."
Deutsche Standard Werke G. m. b. H.,American Radiator & Standard Sanitary Corporation,USO,GmbH,STANDARD SANITARY MANUFACTURING COMPANY,Deutsche Standard Werke G. m. b. H.,"Vol 1, p. 715","Incorporated Dec. 26, 1899, in New Jersey to consolidate the business and acquire the plants of a number of manufacturers of enameled iron ware, brass work, and other plumbers' supplies. In 1925 acquired the German subsidiary Co. and Pacific Standard Werke G. m. b. H., which were consolidated and operations begun in Dec. 1925. The Standard Sanitary Mfg. Co., Ltd. (Canada), is a wholly owned subsidiary. Manufactures bath tubs, kitchen sinks, lavatories, closets, shower and all bathroom fixtures, brass fittings. Plants located at Baltimore, Pittsburgh, Richmond, Cal., Toronto, Ont., Louisville, Ky., Kokomo, Ind., San Pablo, Calif., Tiffin, Ohio; Trenton, N. J. Feldspar mine at Campo, Cal. Brass factory at Louisville, Ky. Annual Meeting: Third Thursday in March. General Office: Bessemer Bldg., Pittsburgh, Pa. Now consolidated with American Radiator & Standard Sanitary Corp. Capital Stock: 7% non-cum. preferred and common shares. Practically all stock owned by American Radiator & Standard Sanitary Corp. Dividends paid regularly since 1904. Transfer Agents: Union Trust Co., Pittsburgh, and Chemical Bank & Trust Co., New York. Registrars: Fidelity Trust Co., Pittsburgh, and City Bank Farmers Trust Co., New York."
Ch. Eitingon AG,"Eitingon Schild Co., Inc.",USO,AG,"EITINGON-SCHILD CO., INC.","Ch. Eitingon & Co., Leipzig","Vol 1, p. 746","Incorporated in New York, June 30, 1914. The corporation operates through operating subsidiary and affiliated companies, engaged in manufacturing, dyeing, and merchandising of furs and skins. It has branches and agencies in principal fur markets worldwide, including Russia, Montreal, London, Paris, United States, and China. Subsidiaries also operate dyeing plants in St. Louis and Leipzig. The company imports foreign furs and sells them domestically and internationally. Through affiliated companies, it holds contracts with the United States Government for Alaska seal catch and with the Russian Government for a large portion of exported fur. The document details a 1933 company proposal for $8,000,000 of current obligations, the issuance of 1,000,000 new shares, and the impact of Russian contracts. It also outlines a Readjustment Plan approved in December 1933 concerning fur merchandise profits/losses and sales. The Fur Companies Syndicate, Inc. was formed in May 1934 to acquire interests from M. N. Eitingon and Motty Eitingon, with details on asset valuation and payments. Management officers and directors are listed."
Kurt Wachtel AG,"Eitingon Schild Co., Inc.",USO,AG,"EITINGON-SCHILD CO., INC.","Kurt Wachtel A. G., Taucha, Leipzig","Vol 1, p. 746","Incorporated in New York, June 30, 1914. The corporation operates through operating subsidiary and affiliated companies, engaged in manufacturing, dyeing, and merchandising of furs and skins. It has branches and agencies in principal fur markets worldwide, including Russia, Montreal, London, Paris, United States, and China. Subsidiaries also operate dyeing plants in St. Louis and Leipzig. The company imports foreign furs and sells them domestically and internationally. Through affiliated companies, it holds contracts with the United States Government for Alaska seal catch and with the Russian Government for a large portion of exported fur. The document details a 1933 company proposal for $8,000,000 of current obligations, the issuance of 1,000,000 new shares, and the impact of Russian contracts. It also outlines a Readjustment Plan approved in December 1933 concerning fur merchandise profits/losses and sales. The Fur Companies Syndicate, Inc. was formed in May 1934 to acquire interests from M. N. Eitingon and Motty Eitingon, with details on asset valuation and payments. Management officers and directors are listed."
D. S. Loewe Radio A.G. of Berlin (Germany) ,Hazeltine Corp.,USC,AG,HAZELTINE CORP.,D. S. Loewe Radio A.G. of Berlin (Germany) ,"Vol 1, p. 767","Incorporated in Delaware on Feb. 15, 1924, as successor to Louis A. Hazeltine Co. The company owns patents for 'Neutrodyne,' 'Neutroform,' and 'Neutroformer' radio apparatus, licensing manufacturers and receiving royalties (2-5%). It owns the entire capital stock of Hazeltine Service Corp. and Latour Corp. As of April 2, 1934, it had 82 employees. While no German subsidiaries are explicitly mentioned, Hazeltine Corp. has patent agreements in Europe, including a 1933 contract with D. S. Loewe Radio A.G. of Berlin (Germany) as its representative for Continental Europe, backed by Telefunken Co. (Germany). Austrian patents are managed by Philips Gloeilampenfabriken (Dutch), which remits German Reichsmarks."
Pfaudler-Werke AG,The Pfaudler Co.,USO,AG,PFAUDLER CO. (THE),"Pfaudler Werke A. G. at Schwetzingen, Germany","Vol 1, p. 799","BONDED DEBT: The Pfaudler Co. 7% gold notes: Authorized, $500,000; outstanding, $224,700; retired, $224,600. Dated April 1, 1924; due April 1, 1944. Interest paid A&O 1, at Lincoln-Alliance Bank & Trust Co., Rochester, N. Y., Trustee. Coupon, $100, $500 and $1,000; registerable as to principal. Callable at par on any interest date upon four weeks' notice. Sinking fund: 5% per annum. A direct obligation, but not secured by mortgage. No mortgage to be created without equally securing these notes. Issued in connection with acquisition of Elyria Enamelled Products Co. Issued $449,800, of which $224,600 retired to May 31, 1934. Company does not pay normal income tax. CAPITAL STOCK: 1. The Pfaudler Co. 6% cum. pref.: Authorized and outstanding, $250,000; par $100. Has preference for assets and dividends. Not callable. No sinking fund. Has equal voting power per share with common. Dividends regularly paid quarterly, March 1, etc., to stock of record Feb. 20, etc., since organization. 2. The Pfaudler Co. common: Authorized, $2,000,000; outstanding, $2,000,000; par $100. Has equal voting power per share with preferred. Dividends of $6 per annum paid from organization to Jan. 1, 1931; $3 from Jan. 1, 1931 to Oct. 1, 1931; $10 from Oct. 1, 1931 to Jan. 1, 1932; $7 from Jan. 1, 1932 to Oct. 1, 1932; Jan. 1, 1933, $1.25; Apr. 1, 1933, $1.72%; 1934, 62% cents; none thereafter to Jan. 1, 1934, when $1 per share was paid; April 1, 1934, $1. Paid stock dividends of 50% Jan. 1, 1912 and 1914. Dividends payable quarterly, Jan. 1, etc., to stock of record Dec. 20, etc."
"Kleinerts Hanseatische, Gummiwerke Gesellschaft mit beschankter Haftung",I. B. Kleinert Rubbert Company,USO,GmbH,KLEINERT (I. B.) RUBBER CO.,I. B. Kleinert Rubber Co. G. m. b. H. (formerly Hanseatische Rubber Co. of Hambaurg),"Vol 1, p. 819","Incorporated in New York, Jan. 1, 1907. Manufacturers of dress and garment shields, baby goods, sanitary goods, bathing caps, household aprons, rubber sheeting, etc. Products are sold under trade-name ""Kleinert."" Rubber works located at College Point, L. I. and St. Paul, Minn. Salesrooms at 485 Fifth Ave., New York; foreign headquarters at London, Toronto, Paris, Hamburg and Toronto. In 1930 purchased Hanseatische Rubber Co. of Hamburg, Germany, and changed its name to I. B. Kleinert Rubber Co. G. m. b. H. In 1931 disposed of interest in Mascoma Rubber Works of Hamburg, Germany. Number of employees, April 16, 1934, about 1,080."
,Jones (J. Edward) Royalty Trust,Others,Others,JONES (J. EDWARD) ROYALTY TRUST,,"Vol 1, p. 842","Organized in April, 1933, as a trust to hold various oil producing royalty interests. Participation certificates are issued against deposit with trustee of oil producing royalty interests selected exclusively by the J. Edward Jones organization. Revenues derived from such properties are remitted monthly by the pipe line organizations to the trustee and are distributed monthly by the latter to holders of these certificates without deduction for any expenses except trustee fees. The contract with the trustee provides for the issuance of Participation Trust Certificates in series A to D and F."
Schulke & Mayr A.G.,Lehn & Pink Products Corporation,USO,AG,LEHN & FINK PRODUCTS CO.,"Schuelke & Mayr, A. G.","Vol 1, p. 854","Accounts certified by Touche, Niven & Co."
