German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Grossaktionär is a US comp,Director attached to a US company,US location linked to a director,US-sounding names,Bond issuance in the US,Other indicators,Other indicators are strong
,,USB,AG,,Westdeutsche Kaufhof Aktiengesellschaft (vorm. Leonhard Tietz A.-G.).,"Vol 93, p. 459",False,False,False,False,True,,False
Singer Nahmaschinen AG,,USC,AG,,Singer Nähmaschinen Aktiengesellschaft.,"Vol 93, p. 559",False,False,True,False,False,,False
Vereinigte Riegel- und Schlossfabriken Act.-Ges.,,USC,AG,,Vereinigte Riegel- und Schlossfabriken Aktiengesellschaft.,"Vol 93, p. 588",False,False,True,False,False,,False
Bayerische Reisszeugfabrik AG,,USC,AG,,"Bayerische Reißzeugfabrik, Aktiengesellschaft.","Vol 93, p. 601",False,False,True,False,False,,False
Ritter AG,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",USO,AG,Ritter Dental Manufacturing Comp. Inc. in Rochester.,Ritter Aktiengesellschaft.,"Vol 93, p. 651",True,False,False,True,False,,False
,,USB,AG,,Aktiengesellschaft Sächsische Werke,"Vol 93, p. 691",False,False,False,False,True,,False
Porzellanfabriken Paul Rauschert Aktiengesellschaft,,USC,AG,,Porzellanfabriken Paul Rauschert Aktiengesellschaft.,"Vol 93, p. 753",False,False,True,False,False,,False
Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,"Harris, Forbes & Co.",USOP,AG,Bankhaus Chase Harris Forbes Corporation,Vereinigte Elektrizitätswerke Westfalen Aktiengesellschaft.,"Vol 93, p. 877",False,True,False,False,False,,False
Richard Hudnut Aktiengesellschaft,,USC,AG,,Richard Hudnut Aktiengesellschaft.,"Vol 93, p. 940",False,False,True,False,False,,False
Herz-Oelfabriken-Wittenberge-Aktiengesellschaft,,USC,AG,,S. Herz Oelfabriken Wittenberge Aktiengesellschaft.,"Vol 93, p. 945",False,False,True,False,False,,False
Kurt Wachtel AG,,USC,AG,,"Rauchwaren-Zurichterei und -Färberei Kurt Wachtel, Aktiengesellschaft.","Vol 93, p. 1005",False,False,True,False,False,,False
Optima-Maschinenfabrik A.-G.,,USC,AG,,Optima-Maschinenfabrik Aktiengesellschaft in Liqu.,"Vol 93, p. 1058",False,False,True,False,False,,False
,,USB,AG,,Ruhrgas Aktiengesellschaft.,"Vol 93, p. 1159",False,False,False,False,True,,False
Deutsche Fox-Film Aktiengesellschaft,,USC,AG,,Deutsche Fox-Film Aktiengesellschaft,"Vol 93, p. 1204",False,False,True,False,False,,False
Fox Tönende Wochenschau Aktiengesellschaft,,USC,AG,,Fox Tönende Wochenschau Aktiengesellschaft.,"Vol 93, p. 1208",False,False,True,True,False,,False
The Goodyear Tire & Rubber Co. Aktiengesellschaft,The Goodyear Tire & Rubber Company,USOP,AG,The Goodyear Tire & Rubber Co.,The Goodyear Tire & Rubber Co. Aktiengesellschaft.,"Vol 93, p. 1276",False,False,False,True,False,The name Goodyear Tire is very suggestive,True
Claudius Peters Aktiengesellschaft.,The Babcock & Wilcox Company,USOP,AG,Babcock & Wilcox Ltd.,Claudius Peters Aktiengesellschaft.,"Vol 93, p. 1464",False,False,False,False,False,"Large shareholder is Babcock & Wilcox Ltd., London",True
Ford-Werke AG,Ford Motor Company,USO,AG,"Ford Motor Company, Ltd., London",Ford Motor Company Aktiengesellschaft. ,"Vol 94, p. 165",True,True,False,False,False,,False
Walsheim Brauerei Aktien-Gesellschaft vorm. Schmidt & Guttenberger.,,USC,AG,,Walsheim Brauerei Aktien-Gesellschaft vorm. Schmidt & Guttenberger.,"Vol 94, p. 194",False,False,True,False,False,,False
Deutsch-Amerikanische Petroleum-Gesellschaft,Standard Oil Company (New Jersey),USO,AG,Standard Oil Company (N. J.) New York.,Deutsch-Amerikanische Petroleum-Gesellschaft.,"Vol 94, p. 337",True,False,False,False,False,,False
Bayerische Mineral Industrie AG,Bavarian oil and Gas Corporation,USO,AG,"Bavarian Oil and Gas Corporation, Delaware (USA)",Bayerische Mineral-Industrie Aktiengesellschaft.,"Vol 94, p. 347",True,False,False,False,False,,False
"Rheinische Schellackbleiche Ernst Kalkhof, Akt.-Ges.",,USC,AG,,"Rheinische Schellackbleiche Ernst Kalkhof, Aktiengesellschaft.","Vol 94, p. 411",False,False,True,False,False,,False
Akt.-Ges. für Erwerb und Verwaltung von Grundbesitz,,USC,AG,,Aktiengesellschaft für Erwerb und Verwaltung von Grundbesitz.,"Vol 94, p. 476",False,False,True,False,False,,False
Metallisator Akt.-Ges.,,USC,AG,,Metallisator Akt.-Ges.,"Vol 94, p. 503",False,False,True,False,False,,False
Pfaudler-Werke AG,,USC,AG,,Pfaudler-Werke A.-G.,"Vol 94, p. 515",False,False,True,False,False,,False
,,USB,AG,,Dortmunder Gas-Werk Aktiengesellschaft.,"Vol 94, p. 596",False,False,False,False,True,,False
,,USB,AG,,Braunkohlen-Industrie-Aktiengesellschaft Zukunft.,"Vol 94, p. 610",False,False,False,False,True,,False
Kardex Akt.-Ges. fir Büroartikel,,USC,AG,,Kardex Aktiengesellschaft für Büroartikel.,"Vol 94, p. 708",False,False,True,False,False,,False
,,USB,AG,,Gutehoffmmgshiitte Oberhausen Aktiengesellschaft.,"Vol 94, p. 712",False,False,False,False,True,,False
"Billeter & Klunz, Aktiengesellschaft",,USC,AG,,"Billeter & Klunz, Aktiengesellschaft.","Vol 94, p. 742",False,False,True,False,False,,False
Mercedes Buromaschinen Werke AG,Underwood Elliott Fisher Company,USO,AG,"Underwood-Elliott-Fisher Co., New York",Mercedes Büromaschinen-Werke Aktiengesellschaft.,"Vol 94, p. 854",True,False,False,False,False,,False
Credit Aktiengesellschaft für Ford-Fahrzeuge.,,USC,AG,,Credit Aktiengesellschaft für Ford-Fahrzeuge.,"Vol 94, p. 864",False,False,True,False,False,,False
Rödingshof Grundstücks-Akt.-Ges.,,USC,AG,,Rödingshof Grundstücks-Aktiengesellschaft.,"Vol 94, p. 872",False,False,True,False,False,,False
Standard Elektrizitats Ges. AG,,USC,AG,,Standard Elektrizitäts-Gesellschaft Aktiengesellschaft.,"Vol 94, p. 911",False,False,True,False,False,,False
Gasbrennerfabrikation Aktiengesellschaft.,,USC,AG,,Gasbrennerfabrikation Aktiengesellschaft.,"Vol 94, p. 950",False,False,True,False,False,,False
"Haendler & Natermann, Akt.-Ges.",,USC,AG,,"Haendler & Natermann, Aktiengesellschaft.","Vol 94, p. 956",False,False,True,False,False,,False
,,USB,AG,,Metallwarenindustrie Aktiengesellschaft.,"Vol 94, p. 972",False,False,False,False,True,,False
"Alex. Zink, Filzfabrik, Akt.-Ges.",,USC,AG,,"Alex Zink, Filzfabrik, Aktiengesellschaft.","Vol 94, p. 1013",False,False,True,False,False,,False
Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG),"Harris, Forbes & Co.",USOP,AG,"Chase Harris Forbes Corporation, New York",Berliner Städtische Elektrizitätswerke Akt.-Ges. (BEWAG).,"Vol 94, p. 1015",False,True,True,False,True,,False
Hirsch-Bräu Aktiengesellschaft.,,USC,AG,,Hirsch-Bräu Aktiengesellschaft.,"Vol 94, p. 1082",False,False,True,False,False,,False
"Ha-No-Mex, Handels-Akt.-Ges.",,USC,AG,,"Ha-No-Mex, Handels-Aktiengesellschaft in Liqu.","Vol 94, p. 1141",False,False,True,False,False,,False
National-Film Verleih- u. Vertriebs-Aktiengeseilschaft,,USOP,AG,,National-Film Verleih- u. Vertriebs-Aktiengesellschaft in Liqu.,"Vol 94, p. 1164",False,False,False,False,False,Mentions an 'amerik. Rechtsanw. ' on the board,True
W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.,Corn Products Refining company,USO,AG,Corn. Products Refining Cor. in New York.,W. A. Schölten Stärke- und Syrup-Fabriken Aktiengesellschaft.,"Vol 94, p. 1188",True,False,False,False,False,,False
"""Borvisk"" Kunstseiden A. G.",,,AG,,„Borvisk“ Kunstseiden-Aktiengesellschaft.,"Vol 4, p. 746",,,,,,,
"""Debag"" Betriebstoff A.G.",,,AG,,„Debag“ Deutsche Betriebsstoff-Aktiengesellschaft.,"Vol 3, p. 1373",,,,,,,
"""Dom"" Finanz A. G. für chemische Unternehmenungen",,,AG,,„Dom“ Finanz-Aktiengesellschaft für chem. Unternehmungen.,"Vol 3, p. 1242",,,,,,,
"""Rustica"" A.G. fuer Grunderwerb",,,AG,,„Rustica“ Aktiengesellschaft für Grunderwerh.,"Vol 3, p. 498",,,,,,,
A. S. Hinds AG,,,AG,,Hinds Aktiengesellschaft.,"Vol 3, p. 902",,,,,,,
A.G. vormals Seidel and Neumann,,,AG,,Aktiengesellschaft vorm. Seidel & Naumann.,"Vol 2, p. 600",,,,,,,
"Aktien-Malsfabrik Landsburg, A. G.",,,AG,,Aktien-Malzfabrik Landsberg.,"Vol 4, p. 231",,,,,,,
Aktiengesellschaft fuer Anlagewerte,,,AG,,Aktiengesellschaft für Anlagewerte.,"Vol 3, p. 619",,,,,,,
"Aktiengesellschaft fuer Geschaeftshausbau (Leipzig, Germany)",,,AG,,Aktiengesellschaft für Geschäftshausbau.,"Vol 4, p. 571",,,,,,,
Askania Werke A. G.,,,AG,,"Askaniawerke Aktiengesellschaft vorm. Centralwerk­ statt, Dessau, und Carl Bamberg, Friedenau.","Vol 2, p. 595",,,,,,,
August Thyssen-Bank Akt.-Ges.,,,AG,,August Thyssen-Bank Aktiengesellschaft.,"Vol 2, p. 195",,,,,,,
Bekleidungs-Aktiengesellschaft,,,AG,,Bekleidungs Aktien-Gesellschaft.,"Vol 3, p. 769",,,,,,,
Bronzefarbenwerke A.-G. vorm. Carl Schlenk,,,AG,,Bronzefarbenwerke A.-G. vorm. Carl Schlenk.,"Vol 2, p. 1020",,,,,,,
Busscher & Hoffman Aktiengesellschaft,,,AG,,Büsscher & Hoffmann Aktiengesellschaft.,"Vol 2, p. 1023",,,,,,,
C. H. Knorr A.G.,,,AG,,C. H. Knorr Aktiengesellschaft.,"Vol 3, p. 412",,,,,,,
Concordia Hotel-Akt.-Ges.,,,AG,,Concordia Hotel-Aktiengesellschaft.,"Vol 3, p. 1210",,,,,,,
Continentale Gummiwerke A.G. ,,,AG,,Oontinental-Gummi-Werke Aktiengesellschaft.,"Vol 2, p. 1193",,,,,,,
Convertgarten A.G.,,,AG,,Conventgarten-Aktien-Gesellschaft.,"Vol 1, p. 801",,,,,,,
Damm & Ladwig Kommandit Gesellschaft und Dulv Aktiengesellschaft,,,AG,,Dulv Aktiengesellschaft.,"Vol 3, p. 1427",,,,,,,
Danziger Hypothekenbank Akt.-Ges.,,,AG,,Danziger Hypothekenbank Aktiengesellschaft.,"Vol 1, p. 1346",,,,,,,
Dartex Aktiengesellschaft für Kautschuk-Verarbeitung,,,AG,,Dartex Aktiengesellschaft für Kautschuk-Verarbeitung.,"Vol 1, p. 788",,,,,,,
Deustche Babcock & Wilcock,,,AG,,"Deutsche Babcock & Wilcox-Dampfkessel-Werke, Actien-Gesellschaft.","Vol 1, p. 377",,,,,,,
Deutsche Burroughs Rechenmaschinen AG,,,AG,,Deutsche Burroughs Rechenmaschinen Aktiengesellschaft.,"Vol 3, p. 564",,,,,,,
Deutsche Gasolin AG,,,AG,,Deutsche Gasolin Aktiengesellschaft.,"Vol 4, p. 687",,,,,,,
Deutsche Landerbank Aktiengesellschaft,,,AG,,Deutsche Länderbank Aktiengesellschaft.,"Vol 2, p. 183",,,,,,,
Deutsche Libbey-Owens Gesellschaft für machinelle Glasherstellung A.G.,,,AG,,"Deutsche Libbey-Owens-Gesellschaft für maschinelle Glasherstellung, Aktiengesellschaft (Delog).","Vol 2, p. 862",,,,,,,
"Deutsche Universal Film, A.G.",,,AG,,Deutsche Universal-Film Aktiengesellschaft.,"Vol 3, p. 1207",,,,,,,
Deutsche Vacuum Oel AG,,,AG,,Deutsche Vacuum Oel Akt.-Ges.,"Vol 3, p. 966",,,,,,,
Deutsche-Fox Film A.G.,,,AG,,Deutsche Fox-Film Aktiengesellschaft.,"Vol 3, p. 1204",,,,,,,
Duco AG,,,AG,,Duco Aktiengesellschaft.,"Vol 3, p. 884",,,,,,,
E. Gundlach A.G.,,,AG,,E. Gundlach Aktiengesellschaft.,"Vol 2, p. 1134",,,,,,,
Ebano Asphalt-Werke Aktiengesellschaft,,,AG,,"Ebano Asphalt-Werke, Aktiengesellschaft.","Vol 4, p. 411",,,,,,,
Eduard Winter Akt.-Ges. für Kraftfahrzeuge,,,AG,,Eduard Winter Aktiengesellschaft für Kraftfahrzeuge.,"Vol 3, p. 566",,,,,,,
Eisenbahn Verkehrsmittel A.-G.,,,AG,,Eisenbahn-Verkehrsmittel-Aktiengesellschaft (Eva).,"Vol 3, p. 279",,,,,,,
Elektrolux A.G.,,,AG,,Elektrolux Aktiengesellschaft.,"Vol 2, p. 770",,,,,,,
Emas A.G. fuer Strassenbaubedarf,,,AG,,„Ernas“ Aktiengesellschaft für Strassenbaubedarf.,"Vol 4, p. 696",,,,,,,
Emil Koster Aktiengesellschaft,,,AG,,"Emil Köster A.-G., Lederfabriken.","Vol 1, p. 1501",,,,,,,
"Emlichheimer Kartoffelmehlfabrik, Aktiengesellschaft,",,,AG,,"Emlichheimer Kartoffelmehlfabrik, Aktiengesellschaft.","Vol 4, p. 625",,,,,,,
Enziger Union Werke AG,,,AG,,Enzinger-Union-Werke A.-G.,"Vol 2, p. 703",,,,,,,
"Erdolbergbau A.G., Celle",,,AG,,„Ebag“ Erdölbergbau-Aktiengesellschaft.,"Vol 2, p. 425",,,,,,,
Europäische Tanklager und Transport AG,,,AG,,Europäische Tanklager- und Transport Aktiengesellschaft.,"Vol 2, p. 1231",,,,,,,
"Fuerstenhof Carlton Hotel, A.G.",,,AG,,Fürstenhof Carlton-Hotel Aktiengesellschaft (Esplanade-Palasthotel).,"Vol 4, p. 556",,,,,,,
Glaswerke Ruhr A.G.,,,AG,,Glaswerke Ruhr Aktiengesellschaft.,"Vol 4, p. 586",,,,,,,
Godecke & Co. Chemische Fabrik und Export A.G.,,,AG,,Goedecke & Go. Chemische Fabrik und Export-Akt.-Ges.,"Vol 3, p. 953",,,,,,,
Gustav Lohse AG,,,AG,,Gustav Lohse Aktiengesellschaft.,"Vol 3, p. 950",,,,,,,
"H. & P. Sauermann, A.G.",,,AG,,H. & P. Sauermann Aktiengesellschaft.,"Vol 4, p. 245",,,,,,,
Hamburg-Amerika Linie,,,AG,,Hamburg-Amerikanische Packetfahrt-Actien- Gesellschaft. // („Hamburg-Amerika Linie“.),"Vol 2, p. 1261",,,,,,,
Hamburger Hof A.G.,,,AG,,Hamburger Hof Aktiengesellschaft.,"Vol 4, p. 259",,,,,,,
"Heinrich Koppers, Akt.-Ges.",,,AG,,"Heinrich Köppers, Aktiengesellschaft.","Vol 4, p. 383",,,,,,,
Hotel Atlantic A.G.,,,AG,,Atlantic-Hotel- Aktiengesellschaft.,"Vol 3, p. 1290",,,,,,,
Hugo Stinnes Reederei A.G.,,,AG,,Hugo Stinnes Reederei Aktiengesellschaft.,"Vol 3, p. 1370",,,,,,,
I. G. Farbenindustrie,,,AG,,I. G. Farbenindustrie Aktiengesellschaft.,"Vol 2, p. 1045",,,,,,,
Industrie lackwerke A.G.,,,AG,,Indusfrielackwerke Aktiengesellschaft.,"Vol 3, p. 980",,,,,,,
Injecta Aktiengesellschaft zur Fabrikation Chiurgischer Instruments,,,AG,,Injecfa Aktiengesellschaft zur Fabrikation chirurgischer Instrumente.,"Vol 2, p. 776",,,,,,,
J. P. Bemberg A.G.,,,AG,,J. P. Bemberg Aktien-Gesellschaft.,"Vol 3, p. 330",,,,,,,
Julius Pintsch A.-G.,,,AG,,Julius Pintsch Aktiengesellschaft.,"Vol 2, p. 553",,,,,,,
Kodak Aktiengesellschaft,,,AG,,Kodak Aktiengesellschaft.,"Vol 2, p. 777",,,,,,,
Kohlen Import & Poseidon A.G.,,,AG,,Kohlen-Import und Poseidon Schiffahrt Aktiengesellschaft.,"Vol 3, p. 1422",,,,,,,
Kohlenveredlung und Schwelwerke Aktiengesellschaft,,,AG,,Kohlenveredlung und Schwelwerke Aktiengesellschaft.,"Vol 4, p. 461",,,,,,,
Kristall Glaswerk A.G.,,,AG,,Kristallglaswerk Aktiengesellschaft.,"Vol 4, p. 831",,,,,,,
Kuehltransit A.-G.,,,AG,,Kühltransit-Aktiengesellschaft.,"Vol 2, p. 1179",,,,,,,
"Lohse, Gustave A.G.",,,AG,,Gustav Lohse Aktiengesellschaft.,"Vol 3, p. 950",,,,,,,
"Lorenz, C. A.G.",,,AG,,"C. Lorenz Aktiengesellschaft, Telephon- und Telegraphen-Werke, Eisenbahnsignal-Bauanstalt.","Vol 2, p. 777",,,,,,,
Maschinenfabrik Augsburg Nurnberg A. G. of Germany,,,AG,,Maschinenfabrik Augsburg-Nürnberg A.-G.,"Vol 1, p. 370",,,,,,,
Maschinenfabrik Turner AG,,,AG,,Maschinenfabrik Turner Aktiengesellschaft.,"Vol 2, p. 633",,,,,,,
Maschinenfabriken Wagner-Doerries Aktiengesellschaft (formerly: Maschinenfabrik Aktiengesellschaft vorm. Wagner & Co. ),,,AG,,Maschinenfabrik Aktiengesellschaft vorm. Wagner & Cc. //,"Vol 1, p. 450",,,,,,,
Metallgesellschaft A.G.,,,AG,,Metallgesellschaft Aktiengesellschaft.,"Vol 1, p. 427",,,,,,,
Metro-Goldwyn-Mayer Film AG,,,AG,,Metro-Goldwyn-Mayer Film Aktiengesellschaft.,"Vol 1, p. 793",,,,,,,
Midgard Deutsche Seeverkehrs A.G.,,,AG,,„Midgard“ Deutsche See Verkehrs-Aktiengesellschaft.,"Vol 3, p. 1311",,,,,,,
Minimax A. G.,,,AG,,Minimax Aktien-Gesellschaft.,"Vol 4, p. 226",,,,,,,
Muelheimer Bergwerks Verein A.G.,,,AG,,Mülheimer Bergwerks-Verein.,"Vol 2, p. 466",,,,,,,
"Mundlos Akteingesellschaft, Magdeburg",,,AG,,Mundlos Aktien-Gesellschaft.,"Vol 3, p. 276",,,,,,,
Nassauer Hof A.G. (Hotel Nassau),,,AG,,Hotel Nassau (Nassauer Hof) Aktiengesellschaft.,"Vol 3, p. 1326",,,,,,,
