page,block,line,x0,y0,x1,y1,text,keyword,page_right,firm_name,german_subsidiary,notes,US company name,US Company,affiliated German firm name,German subsidiary,reviewed_notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affiliated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement
448,4,9,66.95,219.523,215.725,231.021,"Parte. France: Hamburg, Germany; and ",German,448,CENTRAL CUBA SUGAR CO.,None specified,"Interest paid July 1, at company's office New York and at office of Trustees in London, England; in sterling; also in Paris, France; Hamburg, Germany; and Amsterdam, Holland in local currencies at the rate of exchange for pound at $4.86, 35.11 francs, 0.40 marks and 18.05 guilders.",CENTRAL CUBA SUGAR CO.,Central Cuba Sugar Co.,,,"No subsidiary in Germany; in bonded debt: Interest paid July 1, at company's office New York and at office of Trustees in London, England; in sterling; also in Paris, France; Hamburg, Germany; and Amsterdam, Holland in local currencies at the rate of exchange for pound at $4.86, 35.11 francs, 0.40 marks and 18.05 guilders.",False,False,False,False,False,False,False,True
466,2,26,62.4,203.284,147.4,213.385,nel porta and Germany.,German,,,,,UNITED STATES LINES CO.,"United Statess Lines, Co.",None,,"Operations, which are carried on by the Roosevelt Steamship Co., consist of a passenger, mail and express cargo services between New York City, British and French channel ports and Germany.",False,False,False,False,False,False,False,False
479,26,5,75.1,344.909,526.525,357.809,"Peterborourii, Ont; Saskatoon, Sask., and Eben, Germany, manufacturing varioua cereal food products, the best known ",German,479,The Quaker Oats Company,"Manufacturing plant in Essen, Germany","Incorporated in New Jersey in 1901, The Quaker Oats Company is an active operating company focused on milling, selling, and handling cereals, notably 'Quaker Oats.' It operates mills in various locations including Essen, Germany. The company expanded through acquisitions like Great Western Cereal Co. (1911), Aunt Jemima Mills Co. (1925), and Muffets Corp. (1927), and has subsidiaries in Great Britain, Ireland, Canada, and Australia. As of April 1934, it had 3,900 employees. The document includes detailed financial statements (balance sheets, income accounts, ratios) and information on capital stock, dividends, and a 1928 stock offering.",The Quaker Oats Company,Quaker Oats Co.,,,"It operates mills in various locations including Essen, Germany. ",False,False,False,False,False,True,False,False
510,8,6,88.8,222.908,203.225,233.109,Atlantic Rtf. CO. of Germany (Mo.) ,German,510,THE ATLANTIC REFINING COMPANY,Atlantic Refining Co. of Germany,"The Atlantic Refining Company was incorporated in Pennsylvania on April 29, 1870. It is one of the largest manufacturers of lubricating oils, gasoline, and other petroleum products, with extensive operations in the United States and a large export business. Control was held by Standard Oil interests from 1874 until the 1911 dissolution, after which the company began operating independently. In June 1933, Atlantic's shares increased from 5,000 in 1931. Atlantic Refining Co. sold its 50% stock interest in Union Atlantic Co. to Standard Oil Co. of New Jersey at a profit of $1,918,094. On January 11, 1934, Atlantic Oil Producing Co. acquired the entire capital stock of Carroll Oil & Gas Co. The 1931 statement includes a non-recurring profit of $1,483,000 from the sale of capital assets (interest in Near East Development Corp.), which was largely offset by foreign exchange losses. The 7% preferred stock was retired on May 1, 1928. The stock split four for one on October 15, 1928. The company operates refineries in Philadelphia, Franklin, Pittsburgh, and Brunswick (GA), with a total crude running capacity of 83,000 barrels per diem. It also owns a marine fleet (21 tankers, tugs, barges), 443 distributing stations and 597 service stations across multiple states, an office building in Philadelphia, and Atlantic Pipe Line Co. operates 923 miles of trunk and 181 miles of gathering lines in Texas and New Mexico.",THE ATLANTIC REFINING COMPANY,The Atlantic Refining Company,Atlantic Refining Co. of Germany,The Atlantic Refining Company Germany GmbH,"Proprietary and Affiliated Companies, Dec. 31, 1933: ...Allgemeine Oel Handels Ges. (Germany) Shares issued (Rm. 6,000,000) Shares owned (Rm. 2,000,000); Atlantic Ref. Co. of Germany (Me.) Shares issued (604), Shares owned (604); Atlantic Ref. Co. of Germany (Germany) Shares issued (Rm. 1,000,000) Shares owned (Rm. 1,000,000)",True,True,False,True,False,False,False,False
510,8,6,88.8,222.908,203.225,233.109,Atlantic Rtf. CO. of Germany (Mo.) ,German,510,THE ATLANTIC REFINING COMPANY,Atlantic Refining Co. of Germany,"The Atlantic Refining Company was incorporated in Pennsylvania on April 29, 1870. It is one of the largest manufacturers of lubricating oils, gasoline, and other petroleum products, with extensive operations in the United States and a large export business. Control was held by Standard Oil interests from 1874 until the 1911 dissolution, after which the company began operating independently. In June 1933, Atlantic's shares increased from 5,000 in 1931. Atlantic Refining Co. sold its 50% stock interest in Union Atlantic Co. to Standard Oil Co. of New Jersey at a profit of $1,918,094. On January 11, 1934, Atlantic Oil Producing Co. acquired the entire capital stock of Carroll Oil & Gas Co. The 1931 statement includes a non-recurring profit of $1,483,000 from the sale of capital assets (interest in Near East Development Corp.), which was largely offset by foreign exchange losses. The 7% preferred stock was retired on May 1, 1928. The stock split four for one on October 15, 1928. The company operates refineries in Philadelphia, Franklin, Pittsburgh, and Brunswick (GA), with a total crude running capacity of 83,000 barrels per diem. It also owns a marine fleet (21 tankers, tugs, barges), 443 distributing stations and 597 service stations across multiple states, an office building in Philadelphia, and Atlantic Pipe Line Co. operates 923 miles of trunk and 181 miles of gathering lines in Texas and New Mexico.",THE ATLANTIC REFINING COMPANY,The Atlantic Refining Company,Allgemeine Oel Handels Ges. (Germany),"Allgemeine Oel-Handels, GmbH. (Oelhag)","Proprietary and Affiliated Companies, Dec. 31, 1933: ...Allgemeine Oel Handels Ges. (Germany) Shares issued (Rm. 6,000,000) Shares owned (Rm. 2,000,000); Atlantic Ref. Co. of Germany (Me.) Shares issued (604), Shares owned (604); Atlantic Ref. Co. of Germany (Germany) Shares issued (Rm. 1,000,000) Shares owned (Rm. 1,000,000)",True,True,False,True,False,False,False,False
513,42,24,300.95,634.177,516.675,647.976,"Australia, Canada, Argentina, Japan, Germany and Italy ",German,513,CELOTEX CO. (THE),Sales office in Germany,"Incorporated under the laws of Delaware in June, 1920, as successor to Louisiana Celotex Co., which company absorbed Celotex Products Co. Manufactures and sells building insulating products from bagasse under the trade name “Celotex” brand insulating cane board. Products include exterior/interior sheathing, plaster base, insulation, and materials for refrigerators. Also merchandises pulp wall boards, rock wool products, and wood fiber hard boards. Owns 150 acres of land in Marrero, La., with a plant capacity of 500,000,000 sq. ft. Acquired a paper mill in New Iberia, La., in Aug., 1929. Supplies over 7,000 retail dealers and operates divisional sales offices in principal U.S. cities, England, Australia, Canada, Argentina, Japan, Germany, and Italy. In 1930, acquired all capital stock of Celotex Co. of Great Britain from Dahlberg Corp. of America.",CELOTEX CO. (THE),Celotex Co.,,,Sales offices are also maintained in ... Germany,False,False,False,False,False,True,False,False
514,56,7,301.45,425.96,512.125,438.661,"Germany, *19,616; South Coast Co. (nominal value). *1: total, ",German,514,Dahlberg Corp. of America,W. H. Germany,"In 1930, the firm acquired world-wide patents for Celotex products. It also acquired an interest in Celotex through a stock exchange and owns 31,250 shares of South Coast Co. A reorganization plan was approved by stockholders in September 1930, involving a revolving credit, changes in the directorate, and the issuance of common stock rights. The plan also included amending the certificate of incorporation to remove preemptive rights and granting options to purchase common shares to financing interests and management. In June 1932, the company entered receivership due to a creditor's plea.",CELOTEX CO. (THE),Celotex Co.,W. H. Nilsson,Deutsche Celotex Vertrieb,"Under balance sheet: Investments in and advances to: In 1933, Celotex Co. of Great Britain...., W. H. Nilsson, Germany, $19,516",True,True,False,False,False,False,False,False
542,29,5,311.5,223.937,521.725,236.537,"Corp, which has through arrangements with German in- ",German,542,CONTINENTAL-DIAMOND FIBRE CO.,"None explicitly named as subsidiaries. The text mentions that Haveg Corp., controlled by Continental-Diamond Fibre Co., has arrangements with German interests for exclusive rights to manufacture and sell certain acid resisting substances in America, indicating a licensing agreement rather than a subsidiary relationship.","Incorporated in Delaware Jan. 23, 1929 to acquire certain properties of Continental Fibre Co. and Diamond State Fibre Co. (both Delaware corporations) and subsidiaries, including the Celeron Co. Companies were the outgrowth of enterprises started in 1906 and 1891 respectively. Manufactures vulcanized fibre, cotton cellulose chemically treated to form a hard bone-like material used in electrical insulation, manufacture of trunks, packing cases, etc.), dilecto, an amber-like substance produced from a chemical union of phenol and formaldehyde, used in manufacture of radio and wireless apparatus and other electrical devices, etc., and mica products including laminated mica in sheet rod and tube form used for electrical insulating purposes. Products are distributed under trade names, Diamond Fibre, Celeron, Dilecto and Micabond. Main plants located at Newark and Marshallton, Del., Valparaiso, Ind., and Bridgeport, Pa.; additional plants in England and France and branch factories at Chicago and Toronto, and warehouses in other cities of the United States. Owns entire capital stocks of Diamond State Fibre Co. of Canada, Ltd., Diamond Fibre Co. (England), La Fibre Diamond (France), Continental-Diamond Fibre Co. of South Carolina and Delaware Hard Fibre Co., which owns entire capital stock of Delaware Fibre Co. In Apr., 1930 acquired Chicago Mica Co. and Fibroc Insulation Co. Controls Haveg Corp. which has through arrangements with German interests the exclusive right to manufacture and sell in America certain acid resisting substances for use in the chemical industry. Number of employees, April 2, 1934, 1,200. Accounts certified by Price, Waterhouse & Co. Note 1: Chicago Transfer & Clearing Co. common: Authorized, $3,000,000 (increased from $5,000,000 July 15, 1929); outstanding, $2,997,700; reserved for conversion, $2,000,000; in treasury, $2,500; par $100. Has voting power. Dividends have been paid as follows: 1913 and 1914, 4%; 1915, 3%; 1916, 4%; 1917, 4%; 1918, 4%; 1919, 3%; 1920, none; 1921, 4%; 1922 to 1931, incl., 5%; 1932, 3%; 1933, 2%; Jan. 2, 1934, 1%. Dividends payable J&J 1. Capital stock accounts certified by Lybrand, Ross Bros. & Montgomery.",CONTINENTAL-DIAMOND FIBRE CO.,Continental-Diamond Fibre Co.,,,"Controls Haveg Corp., which has through arrangements with German interests the exclusive right to manufacture and sell in America certain acid resisting substances for use in the chemical industry.",False,False,False,False,False,False,False,True
548,18,4,310.1,303.183,519.075,318.885,by J. P. Bemberg A.G. in Germany. Acquired sole right! ,German,548,AMERICAN BEMBERG CORP.,J. P. Bemberg A.G.,"AMERICAN BEMBERG CORP. was incorporated in Delaware to manufacture Bemberg yarns in the United States. It acquired sole rights for the United States to all Bemberg patents and processes exclusively owned by J. P. Bemberg A.G. in Germany. Several directors are listed with Wuppertal-Elberfeld, Germany as their location, indicating a strong German connection. The plant is located near Elizabethton, Tenn., and the executive office is in New York.",AMERICAN BEMBERG CORP.,American Bemberg Corp.,J. P. Bemberg A. G. in Germany,,Incorporated ... to manufacture Bemberg yarns in the United States under patents and processes exclusively owned by J. P. Bemberg A. G. in Germany. Acquired sole rights for the United States to all Bemberg patents and processes.,False,False,False,False,False,False,True,False
592,30,8,80.65,389.513,295.425,404.714,"England, France, Germany, Sweden, Denmark, Mexico, ",German,592,COLUMBIA PICTURES CORP.,Agencies in Germany,"Incorporated in New York, Jan. 10, 1924 to produce and distribute motion pictures. Corporation is licensed under patents controlled by Western Electric Co. (through its subsidiary Electrical Research Products, Inc.) covering production of so-called sound and talking pictures. Owns and operates fully-equipped studios in Hollywood, Cal., and has its executive and general distribution offices in New York. There are 32 branch distributing offices in the principal centres of the United States and other agencies are located in Canada, England, France, Germany, Sweden, Denmark, Mexico, Panama, Argentina, Cuba, Chile, Brazil, China and Japan. Corporation owns no theatres.",COLUMBIA PICTURES CORP.,Columbia Pictures Corp.,,,"There are ... other agencies are located in Canada, England, France, Germany, Sweden, Denmark, Mexico, ...",False,False,False,False,False,True,False,False
625,70,15,294.7,591.258,511.375,601.459,"turing plant, and Hobart Gesellschaft, Hamburg, Germany. ",German,625,Hobart Manufacturing Co.,"Hobart Gesellschaft, Hamburg, Germany","Incorporated under Ohio laws March 15, 1913, established in 1895. Manufactures electrical coffee mills, meat chopping, mixing, food cutting, dish washing, metal washing machines, potato peelers, and slicers. Acquired Crescent Washing Machine Co. in Oct. 1926. Operates plants in Troy, Ohio, and Long Island, N.Y. Owns Hobart Mfg. Co. Ltd. (Canada) and Fabricage Maatschappij Hobart Berkel (Rotterdam, Holland). Acquired controlling interest in Kitchen Aid Mfg. Co. in Oct. 1927, which was sold in 1931. Number of employees was 630 as of April 15, 1934.",Hobart Manufacturing Co.,The Hobart Manufacturing Company,"Hobart Gesellschaft, Hamburg, Germany","Hobart Maschinen Gesellschaft, m.b.H.","Other subsidiaries include....Hobart Gesellschaft, Hamburg, Germany.",True,False,False,True,False,False,False,False
683,22,4,294.7,406.66,506.325,415.409,"Mulhelm. Ruhr, Germany: Bertha Tewaa Asst. Bec. * Asst. Truia ",German,683,HUGO STINNES CORP.,Substantially all of its properties and controlled mining interests are located in Germany.,"Incorporated in Maryland, Oct. 23, 1928. Owns entire capital stock of Hugo Stinnes Industries, Inc., and controls through stock ownership a group of diversified manufacturing enterprises, immense office buildings, apartment houses and extensive farm and timber lands and long term accounts receivable. It is proposed to liquidate certain manufacturing plants not related to coal industry, part of real estate and long term accounts receivable and certain marketable securities as favorable opportunities present themselves. Company and its subsidiaries, including the controlled mining interests, had 1,761 employees and 9,214 wage-earners at Dec. 31, 1932, a total of 10,975.",HUGO STINNES CORP.,Hugo Stinnes Corporation,,,Substantially all of its properties and controlled mining interests are located in Germany.,True,False,False,False,False,True,False,False
684,18,3,83.5,269.9,296.825,279.189,"over Bank 4 Trust Co., New York, Deutsche Kreditsicherung ",Deutsch,684,"HUGO STINNES INDUSTRIES, INC.","Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes), Hugo Stinnes, Ltd. (Hugo Stinnes G. m. b. H.), Rheinische-Westfaelische Bergwerks Gesellschaft","Hugo Stinnes Industries, Inc. is controlled by Hugo Stinnes Corp. and was incorporated in Maryland on Oct. 24, 1928. Its purpose is to own or control stocks representing all of the coal and coal products holdings and other interests owned by Hugo Stinnes Corp. The company owns 55% of Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes) and the entire capital stock of Hugo Stinnes, Ltd. (Hugo Stinnes G. m. b. H.). It also holds other stocks of companies primarily engaged in mining, transportation, and distribution of fuel and fuel products. Mathias Stinnes Mining Corp. operates mines at Karnap, near Essen, and Muelheim, with an annual mining capacity of over 5,700,000 short tons of coal and significant reserves. Together with its subsidiaries, the firm holds a 46% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve. They are also involved in the production of by-products such as gas, electric power, tar oils, ammonium sulphate, glass products, and brick. Hugo Stinnes, Ltd. is an international coal dealer with extensive storage facilities and operations in various ports including Hamburg-Harburg, Muelheim, Stettin, Koenigsberg, Nordhausen, and Duisburg in Germany, among others globally.","HUGO STINNES INDUSTRIES, INC.","Hugo Stinnes Industries, Inc.",Hugo Stinnes G. m. b. H.,Hugo Stinnes G.m.b.H.,"Hugo Stinnes Industries, Inc. is controlled by Hugo Stinnes Corp. and was incorporated in Maryland on Oct. 24, 1928. Its purpose is to own or control stocks representing all of the coal and coal products holdings and other interests owned by Hugo Stinnes Corp. The company owns 55% of Mathias Stinnes Mining Corp. (Gewerkschaft Mathias Stinnes) and the entire capital stock of Hugo Stinnes, Ltd. (Hugo Stinnes G. m. b. H.). It also holds other stocks of companies primarily engaged in mining, transportation, and distribution of fuel and fuel products. Mathias Stinnes Mining Corp. operates mines at Karnap, near Essen, and Muelheim, with an annual mining capacity of over 5,700,000 short tons of coal and significant reserves. Together with its subsidiaries, the firm holds a 46% interest in Rheinische-Westfaelische Bergwerks Gesellschaft, which owns the Ruhr coal reserve. They are also involved in the production of by-products such as gas, electric power, tar oils, ammonium sulphate, glass products, and brick. Hugo Stinnes, Ltd. is an international coal dealer with extensive storage facilities and operations in various ports including Hamburg-Harburg, Muelheim, Stettin, Koenigsberg, Nordhausen, and Duisburg in Germany, among others globally.",True,False,False,True,False,False,False,False
